SampleID	CPER_002-M-14-37-20140117
Abies	3
Abiotrophia	437
Absidia	1
Acanthamoeba	51
Acanthocardia	7
Acanthocyclops	1
Acarospora	1
Acaryochloris	8085
Acetabularia	5
Acetitomaculum	1
Acetivibrio	1478
Acetobacter	3026
Acetobacterium	6
Acetohalobium	2197
Achlya	1
Achnanthes	2
Acholeplasma	396
Achromobacter	16691
Aciculosporium	1
Acidaminococcus	2080
Acidianus	6
Acidilobus	349
Acidimicrobium	12929
Acidiphilium	18011
Acidithiobacillus	6785
Acidithiomicrobium	5
Acidobacterium	67471
Acidocella	1
Acidomonas	2
Acidothermus	47449
Acidovorax	26181
Aciduliprofundum	664
Acinetobacter	6639
Acorus	3
Acrasis	1
Acrobeloides	2
Actaea	1
Actinidia	2
Actinoallomurus	13
Actinobacillus	1876
Actinobaculum	6
Actinocorallia	22
Actinokineospora	3
Actinomadura	422
Actinomyces	9014
Actinoplanes	1172
Actinopolyspora	2
Actinospica	1
Actinosynnema	51208
Actinotalea	5
Acyrthosiphon	167
Adiantum	5
Adineta	42
Adoxophyes	2
Advenella	3
Aedes	649
Aegilops	11
Aeluropus	2
Aeribacillus	1
Aerococcus	294
Aeromicrobium	6663
Aeromonas	4660
Aeropyrum	1409
Aethionema	2
Afifella	13
Afipia	11901
Agaricus	24
Agarivorans	1
Agathis	6
Aggregatibacter	635
Aglaothamnion	1
Agreia	3
Agrobacterium	24284
Agrocybe	1
Agromyces	19
Agrostis	17
Agrotis	1
Agrypnus	1
Ahrensia	1943
Ailuropoda	250
Ajellomyces	669
Akkermansia	11365
Albidiferax	11757
Albinaria	1
Alcaligenes	132
Alcanivorax	3246
Alcolapia	1
Alcyonidium	1
Alexandrium	4
Algoriphagus	5170
Alicycliphilus	4333
Alicyclobacillus	8825
Aliivibrio	1067
Alistipes	2079
Alkalilimnicola	7178
Alkalimonas	5
Alkaliphilus	6319
Alligator	2
Allium	4
Allochromatium	4658
Allomyces	13
Alnus	4
Alocasia	7
Alphabaculovirus	4
Alphalipothrixvirus	3
Alpheus	1
Alsophila	2
Alternaria	20
Alteromonas	2735
Alucita	2
Alvinella	1
Amanita	1
Amaranthus	4
Amblyomma	5
Amblyrhynchus	1
Amborella	3
Ambystoma	4
Amia	1
Aminobacter	30
Aminobacterium	1455
Aminomonas	1609
Ammonifex	5846
Ammopiptanthus	5
Amoeba	1
Amomum	1
Ampelomyces	1
Amphibacillus	2
Amphidinium	5
Amphimedon	1
Amphora	1
Amplirhagada	1
Amycolatopsis	72090
Amylomyces	1
Anabaena	24507
Anacropora	1
Anaerobaculum	2378
Anaerobiospirillum	1
Anaerobranca	5
Anaerococcus	891
Anaerofustis	339
Anaerolinea	11610
Anaeromyxobacter	95588
Anaerostipes	496
Anaerotruncus	1103
Ananas	1
Anaplasma	764
Anas	2
Ancylobacter	3
Anderseniella	1
Anemia	1
Aneura	4
Aneurinibacillus	34
Angiopteris	7
Anguilla	3
Aniseia	1
Annona	1
Annulohypoxylon	1
Anomochloa	7
Anopheles	628
Anoplocephala	2
Anoplopoma	10
Anoxybacillus	3250
Anser	4
Antarctothoa	1
Anterhynchium	1
Anthela	1
Anthemiphyllia	1
Anthoceros	15
Anthocleista	2
Anthogorgia	1
Anthopleura	3
Anthracobia	1
Anticlea	1
Antipaluria	4
Antirrhinum	6
Apalocnemis	1
Aphanius	3
Aphanizomenon	53
Aphanothece	2
Aphelenchus	1
Aphis	1
Aphonopelma	2
Aphrocallistes	1
Aphyllanthes	1
Apis	295
Aplysia	6
Aplysina	1
Apomastus	1
Apteryx	3
Apus	2
Aquabacterium	14
Aquamicrobium	1
Aquifex	5378
Aquincola	2
Arabidopsis	5065
Arachis	6
Araneus	2
Araucaria	1
Arca	1
Arcanobacterium	975
Archaeoglobus	2940
Archidium	1
Architeuthis	1
Arcobacter	1148
Arenibacter	2
Arenicola	1
Argyreia	1
Aristida	9
Aristolochia	2
Armillaria	3
Armillifer	1
Arnebia	1
Aromatoleum	13580
Arsenophonus	139
Artemia	10
Artemisia	3
Arthrinium	1
Arthrobacter	51383
Arthrobotrys	2
Arthroderma	462
Arthrospira	5452
Arundinaria	2
Asaia	9
Asarum	1
Ascaris	10
Ascidia	2
Ascobolus	3
Ascophyllum	1
Asfivirus	26
Asparagus	3
Aspergillus	5780
Asteropeia	2
Asterosiphon	1
Asticcacaulis	5923
Astrebla	3
Astripomoea	1
Astrothelium	1
Atelopus	1
Athalia	1
Atopobium	1843
Atrina	1
Atriplex	2
Atropa	8
Aucuba	1
Aurantimonas	8591
Aurelia	3
Aureobasidium	7
Aureococcus	686
Austrobaileya	1
Autographa	1
Auxenochlorella	3
Avena	7
Aviadenovirus	1
Avibacterium	3
Avicennia	1
Avipoxvirus	1
Azoarcus	12316
Azohydromonas	10
Azorhizobium	21510
Azorhizophilus	1
Azospirillum	19865
Azotobacter	6722
Babesia	41
Bacillus	62589
Bacteriovorax	1759
Bacteroides	21582
Bactrocera	1
Baileya	1
Balanus	1
Balnearium	1
Bambusa	42
Bangiopsis	1
Bartonella	2963
Basfia	760
Basidiobolus	4
Batrachochytrium	1
Bazzania	1
Bdellovibrio	7456
Beccariophoenix	5
Beggiatoa	4033
Beijerinckia	8494
Bellotia	1
Bemisia	2
Benua	2
Berberidopsis	2
Berberis	1
Bergeriella	1
Bergeyella	5
Bermanella	742
Besnoitia	1
Beta	22
Betabaculovirus	6
Betula	3
Beutenbergia	17657
Bibersteinia	42
Bicaudavirus	1
Bidessodes	1
Bifidobacterium	7314
Bigelowiella	9
Bilophila	1076
Biomphalaria	3
Bionectria	1
Bispora	2
Biston	4
Blastochloris	87
Blastocladiella	7
Blastocystis	99
Blastopirellula	32374
Blattabacterium	288
Blautia	1902
Blomia	1
Bodo	4
Bodomorpha	2
Boeremia	2
Boiga	1
Bolbocoleon	1
Boletellus	1
Boletus	1
Bombardia	1
Bombyx	37
Bonamia	1
Borago	1
Bordetella	27893
Borrelia	905
Bos	938
Bosea	33
Bothrops	2
Botrydiopsis	1
Botrydium	1
Botryllus	1
Botrynema	1
Botryococcus	6
Botryosphaeria	1
Botryotinia	554
Bougainvillea	1
Boulengerula	2
Bouteloua	38
Bowenia	1
Bpp-1-like viruses	27
Brachionus	11
Brachybacterium	4481
Brachyelytrum	3
Brachymonas	24
