SampleID	CPER_003-M-20140116
Abacion	2
Abies	2
Abiotrophia	811
Abrodictyum	1
Acanthamoeba	182
Acanthocardia	7
Acanthocyclops	2
Acanthopagrus	1
Acarteroptera	1
Acarus	1
Acaryochloris	18343
Acetabularia	12
Acetitomaculum	1
Acetivibrio	3278
Acetobacter	4935
Acetobacterium	20
Acetohalobium	4720
Achatina	1
Acheta	1
Achlyodes	1
Achnatherum	1
Acholeplasma	695
Achromobacter	38767
Aciculosporium	2
Acidaminococcus	3117
Acidianus	18
Acidilobus	691
Acidimicrobium	26390
Acidiphilium	28684
Acidithiobacillus	13135
Acidithiomicrobium	25
Acidobacterium	102224
Acidocella	7
Acidomonas	5
Acidothermus	74207
Acidovorax	54489
Aciduliprofundum	1489
Acinetobacter	14494
Acipenser	4
Acorus	5
Acraga	2
Acrasis	3
Acremonium	2
Acrobeloides	1
Acroceridae n. gen. 'New Caledonia'	1
Acropora	3
Actaea	1
Actinidia	15
Actinoallomurus	5
Actinobacillus	4095
Actinobaculum	9
Actinocorallia	32
Actinokineospora	9
Actinomadura	833
Actinomucor	1
Actinomyces	16642
Actinoplanes	2321
Actinopolyspora	4
Actinosynnema	97591
Actinotalea	4
Actinotus	39
Acyrthosiphon	394
Adela	1
Adiantum	32
Adineta	113
Adonis	1
Adoxophyes	2
Advenella	14
Aedeomyia	1
Aedes	989
Aegilops	38
Aegla	1
Aeribacillus	2
Aerococcus	741
Aeromicrobium	19364
Aeromonas	10295
Aeropyrum	2604
Aethionema	7
Afifella	6
Afipia	17988
Agaon	1
Agaricus	222
Agarivorans	2
Agastache	2
Agathis	1
Agelas	2
Aggregatibacter	1272
Agreia	1
Agrilus	1
Agrobacterium	51455
Agrococcus	1
Agrocybe	12
Agromyces	46
Agropyron	3
Agrostis	20
Agrotis	5
Agrypnus	1
Ahrensia	4321
Ailuropoda	482
Ajellomyces	1004
Aka	1
Akkermansia	12008
Albidiferax	25763
Albinaria	2
Alcaligenes	244
Alcanivorax	9139
Alcolapia	1
Alexandrium	5
Algoriphagus	12422
Alicycliphilus	10410
Alicyclobacillus	17541
Aliivibrio	2414
Alisma	1
Alistipes	4334
Alkalilactibacillus	2
Alkalilimnicola	16292
Alkalimonas	7
Alkaliphilus	15193
Alligator	5
Allium	7
Allochromatium	10756
Allomyces	27
Alloscardovia	3
Alnus	12
Aloe	1
Alphabaculovirus	19
Alphalipothrixvirus	10
Alpheus	1
Alsophila	4
Alstonia	2
Alternanthera	1
Alternaria	26
Alteromonas	5442
Alvinella	1
Amanita	5
Amaranthus	7
Amastigomonas	1
Amathuxidia	1
Amblyomma	6
Amblyopyrum	1
Amblyraja	1
Amblyrhynchus	1
Amborella	8
Ambrosia	5
Ambystoma	2
Amia	2
Aminobacter	24
Aminobacterium	3085
Aminomonas	3333
Ammonifex	11958
Ammopiptanthus	1
Amoeba	1
Amoebidium	1
Amomum	1
Amorpha	1
Ampelomyces	1
Ampelophaga	1
Amphibacillus	1
Amphidinium	9
Amphimedon	2
Amphiporus	1
Amphithyrus	1
Ampithoe	1
Amycolatopsis	119046
Amylomyces	1
Anabaena	56092
Anaerobaculum	4921
Anaerobranca	5
Anaerococcus	1861
Anaerofustis	849
Anaerolinea	25233
Anaeromyxobacter	171260
Anaeroplasma	1
Anaerostipes	1009
Anaerotruncus	1901
Ananas	12
Anaplasma	1634
Anas	15
Anaspides	1
Ancistrocladus	1
Ancylobacter	19
Ancylostoma	1
Anderseniella	4
Andrena	1
Andrias	1
Androctonus	3
Anemia	1
Anethum	3
Anetium	1
Aneura	4
Aneurinibacillus	104
Angiopteris	25
Angiostrongylus	1
Anguilla	7
Anguina	1
Ankistrodesmus	1
Anomochloa	3
Anomoloma	1
Anomopus	2
Anopheles	1789
Anophryoides	1
Anoplopoma	24
Anoxybacillus	6457
Anser	7
Anterhynchium	1
Anthalia	1
Anthela	2
Antheraea	3
Anthericum	2
Anthoceros	24
Anthocidaris	2
Anthocleista	3
Anthopleura	8
Anticarsia	1
Antipaluria	2
Antirrhinum	7
Antonospora	3
Antrodiaetus	1
Aotus	1
Aphanius	2
Aphanizomenon	88
Aphanogmus	1
Aphanomyces	3
Aphanothece	9
Aphelenchoides	1
Aphelenchus	2
Aphelia	1
Aphodius	2
Aphonopelma	3
Aphrocallistes	1
Aphrodes	1
Aphyllanthes	1
Apis	611
Aplidium	1
Aplysia	15
Apocryptophagus	1
Apodachlya	2
Aposthonia	1
Apostichopus	1
Apriona	3
Apteryx	5
Aquabacterium	22
Aquamicrobium	4
Aquifex	11993
Aquilegia	1
Aquimarina	2
Aquincola	2
Arabidopsis	8523
Arabis	1
Arachis	11
Arachnomyces	2
Araneus	4
Arapaima	1
Araucaria	1
Arbacia	1
Arcanobacterium	1877
Archaeoglobus	6844
Archiearis	1
Architeuthis	1
Arcobacter	2881
Arctoscopus	1
Arenibacter	1
Arenicola	3
Argiope	2
Argulus	1
Arhodomonas	3
Ariopsis	1
Aristida	2
Aristolochia	2
Armadillidium	1
Armillaria	4
Arnebia	1
Aromatoleum	31470
Arsenophonus	249
Artemia	8
Artemisia	3
Arthrinium	1
Arthrobacter	102561
Arthroderma	732
Arthrospira	11714
Arundinaria	6
Asaia	6
Asarum	1
Ascaris	7
Aschersonia	4
Ascobolus	2
Ascophyllum	1
Ascovirus	2
Asfivirus	23
Asparagus	11
Aspergillus	10101
Aspidoscelis	1
Asplenium	2
Asterochloris	1
Asteromassaria	1
Asterophora	7
Asticcacaulis	10055
Astrangia	1
Astrospartus	1
Athalia	2
Athelia	5
Atolla	1
Atopobium	3495
Atraphaxis	1
Atrina	8
Atriplex	4
Atropa	9
Atteva	1
Aucuba	1
Augochlorella	1
Aurantimonas	18160
Aurelia	4
Aureobasidium	5
Aureoboletus	1
Aureococcus	8
Austrobdella	1
Austrostipa	3
Autographa	2
Automeris	1
Auxenochlorella	1
Auxis	1
Avena	8
Avibacterium	5
Avicennia	1
Avipoxvirus	4
Azoarcus	27436
Azohydromonas	16
Azorhizobium	41307
Azospira	1
Azospirillum	35125
Azotobacter	9527
Azteca	2
Babesia	91
Bachelotia	2
Bacillus	144491
Bacteriovorax	4148
Bacteroides	55609
Badnavirus	1
Baeospora	1
Balaenoptera	1
Balanoglossus	3
Balanus	1
Balneatrix	1
Bambusa	24
Barbarea	3
Bartonella	6267
Basfia	1527
Basidiobolus	3
Basilodes	1
Basiothia	1
Batillipes	1
Batrachochytrium	2
Bdellovibrio	15541
Beckmannia	1
Beggiatoa	9827
Beijerinckia	14910
Belgica	2
Bembidion	1
Bemisia	1
Benedenia	1
Berberis	4
Bergeriella	7
Bergeyella	13
Bermanella	1557
Beta	32
Betabaculovirus	16
Betula	3
Beutenbergia	34202
Bibersteinia	37
Bibio	1
Bicaudavirus	1
Bifidobacterium	13744
Bigelowiella	17
Bilophila	2221
Biomphalaria	9
Bionectria	3
Bipes	1
Biscoia	1
Biston	5
Blakeslea	1
Blasia	1
Blastobacter	1
Blastobotrys	4
Blastochloris	146
Blastocladiella	7
Blastocystis	3
Blastopirellula	81920
Blattabacterium	811
Blattella	3
Blautia	3936
Blepharisma	1
Blomia	3
Blumeria	3
Bodo	15
Bodomorpha	5
Boechera	6
Bolbitis	1
Bolbocoleon	2
Bolbophorus	2
Boletus	2
Boltenia	1
Bombus	2
Bombyx	110
Bonamia	1
Boquila	2
Borago	2
Bordetella	62923
Borrelia	1639
Bos	1850
Bosea	81
Bothrops	2
Botrydiopsis	1
Botrynema	1
Botryococcus	12
Botryosphaeria	1
Botryotinia	754
Botryozyma	1
Boulengerula	1
Bouteloua	23
Bovista	13
Bowenia	2
Bowmanella	1
Bpp-1-like viruses	43
Brachionus	19
Brachybacterium	9497
Brachyelytrum	2
Brachymonas	50
Brachyphylla	1
Brachypodium	24
Brachyspira	3337
Bracteacoccus	1
Bradyrhizobium	344054
Branchiostoma	2567
Brassica	199
Bremia	1
Brenneria	4
Brettanomyces	4
Breviata	1
Brevibacillus	16759
Brevibacterium	14024
Brevundimonas	18493
Briareum	2
Brimeura	4
Brissopsis	1
Brochothrix	1
Bromus	1
Brucella	20596
Brugia	459
Bryonia	1
Bryopsis	7
Buchnera	989
Buckinghamia	2
Bufo	2
Bugula	3
Bulleidia	284
Bulnesia	2
Bungarus	1
Burkholderia	259564
Bursaphelenchus	4
Butyrivibrio	2237
Caedibacter	2
Caenacis	1
Caenorhabditis	3352
Cafeteria	3
Caiman	3
Caldanaerobacter	16538
Caldanaerobius	7
Caldibacillus	19
Caldicellulosiruptor	16527
Caldimonas	1
Calditerrivibrio	4426
Caldivirga	1388
Caldococcus	2
Caligus	74
Calliactis	1
Callicebus	4
Callinectes	7
Callionima	1
Calliphora	2
Callithrix	133
Callorhinchus	3
Callosobruchus	1
Caloramator	1
Calothrix	150
Cambarincola	1
Camellia	12
Camelus	1
Caminibacter	678
Campanella	1
Camponotus	269
Camptotheca	13
Campylaephora	1
Campylobacter	7072
Campylostemon	1
Canavalia	7
Cancer	1
Candida	600
Candidatus Accumulibacter	18047
Candidatus Amoebophilus	2584
Candidatus Aquiluna	1
Candidatus Azobacteroides	607
Candidatus Blochmannia	325
Candidatus Caldiarchaeum	236
Candidatus Cardinium	2
Candidatus Carsonella	12
Candidatus Chloracidobacterium	6712
Candidatus Cloacamonas	1735
Candidatus Desulforudis	12944
Candidatus Endobugula	19
Candidatus Fritschea	22
Candidatus Glomeribacter	1
Candidatus Hamiltonella	417
Candidatus Hemobacterium	1
Candidatus Hodgkinia	7
Candidatus Ishikawaella	1
Candidatus Korarchaeum	1907
Candidatus Koribacter	214024
Candidatus Kuenenia	12426
Candidatus Liberibacter	397
Candidatus Magnetobacterium	45
Candidatus Micrarchaeum	330
Candidatus Midichloria	1
Candidatus Nicolleia	1
Candidatus Nitrosocaldus	8
Candidatus Odyssella	152
Candidatus Parvarchaeum	250
Candidatus Pelagibacter	4841
Candidatus Phytoplasma	365
Candidatus Portiera	2
Candidatus Protochlamydia	5179
Candidatus Puniceispirillum	4842
Candidatus Regiella	306
Candidatus Rhodoluna	1
Candidatus Riesia	25
Candidatus Solibacter	169
Candidatus Sulcia	283
Candidatus Thiobios	1
Candidatus Tremblaya	7
Candidatus Zinderia	10
Canella	1
Canis	1235
