SampleID	CPER_002-M-20130701
Abiotrophia	311
Acanella	1
Acanthamoeba	33
Acanthaster	1
Acanthocardia	17
Acanthocyclops	1
Acanthodiaptomus	1
Acanthopagrus	1
Acanthoscurria	1
Acarus	1
Acaryochloris	5877
Acetabularia	5
Acetivibrio	1078
Acetobacter	1666
Acetobacterium	8
Acetohalobium	1698
Acholeplasma	257
Achromobacter	10572
Acidaminococcus	1439
Acidianus	4
Acidilobus	232
Acidimicrobium	9583
Acidiphilium	8850
Acidithiobacillus	4256
Acidithiomicrobium	31
Acidobacterium	28386
Acidomonas	2
Acidothermus	37418
Acidovorax	13562
Aciduliprofundum	540
Acinetobacter	5321
Acorus	2
Acrasis	1
Acremonium	1
Acrobeloides	10
Acrospermum	6
Actinidia	3
Actinoallomurus	20
Actinobacillus	1436
Actinobaculum	1
Actinocorallia	26
Actinokineospora	8
Actinomadura	339
Actinomyces	8202
Actinoplanes	1158
Actinosynnema	37696
Actinotalea	16
Acyrthosiphon	135
Adiantum	14
Adineta	39
Adonis	1
Advenella	6
Aedes	283
Aegiceras	1
Aegilops	4
Aeribacillus	3
Aerococcus	281
Aeromicrobium	2240
Aeromonas	3367
Aeropyrum	968
Aethes	1
Aethionema	1
Afifella	7
Afipia	6679
Agaon	1
Agaricus	11
Agastache	3
Agathis	2
Agelenopsis	1
Aggregatibacter	426
Aglaothamnion	1
Agrobacterium	15087
Agrococcus	4
Agromyces	16
Agrostis	4
Agrypnus	2
Ahrensia	1167
Ailuropoda	184
Ajellomyces	3345
Akkermansia	7544
Albidiferax	6166
Alcaligenes	91
Alcanivorax	2695
Aldrovanda	1
Aleurochiton	1
Alexandrium	1
Algoriphagus	3465
Alicycliphilus	2529
Alicyclobacillus	7776
Aliivibrio	811
Aliquandostipite	1
Alistipes	1348
Alkalilactibacillus	2
Alkalilimnicola	4681
Alkalimonas	3
Alkaliphilus	4788
Alkalispirillum	1
Allium	5
Allochromatium	2914
Allogromia	1
Allomyces	18
Alnus	6
Alphabaculovirus	7
Alphalipothrixvirus	3
Alpharetrovirus	1
Alternanthera	1
Alternaria	71
Alteromonas	1551
Alvinella	1
Alyxoria	2
Amandinea	2
Amanita	1
Amanoa	1
Amaranthus	376
Amblyomma	2
Amblyraja	1
Amblyrhynchus	1
Amborella	1
Ambystoma	1
Amia	1
Aminobacter	2
Aminobacterium	957
Aminomonas	1102
Amiota	3
Ammonifex	4345
Amoebidium	1
Amomum	1
Amphibacillus	3
Amphidinium	1
Amphimedon	1
Amycolatopsis	49558
Anabaena	18526
Anaerobaculum	1556
Anaerobiospirillum	12
Anaerobranca	3
Anaerococcus	711
Anaerofustis	304
Anaerolinea	6639
Anaeromyxobacter	56790
Anaerostipes	411
Anaerotruncus	629
Ananas	1
Anaplasma	569
Anarrhinum	1
Anas	4
Ancylobacter	4
Ancylostoma	1
Anderseniella	1
Andrographis	1
Aneurinibacillus	24
Angiopteris	12
Anguilla	2
Anncaliia	1
Anomalurus	1
Anomochloa	3
Anopheles	641
Anoplopoma	6
Anoxybacillus	2437
Anser	5
Antedon	1
Antheraea	5
Anthoceros	14
Anthopleura	1
Antipaluria	1
Antirrhinum	1
Antithamnion	1
Antonospora	1
Aphanizomenon	27
Aphanocladium	1
Aphanothece	3
Aphelenchus	2
Aphrocallistes	3
Apis	188
Aplysia	1
Apteryx	3
Apus	6
Apusomonas	1
Aquabacterium	9
Aquamicrobium	1
Aquaspirillum	1
Aquifex	3764
Aquimarina	6
Aquincola	1
Arabella	1
Arabidopsis	3606
Arabis	1
Arachis	6
Arachniotus	1
Arcanobacterium	926
Archaeoglobus	2171
Arcobacter	728
Arenicola	1
Argas	1
Argopecten	1
Arhodomonas	2
Arianta	1
Armillaria	1
Armillifer	1
Arnebia	1
Aromatoleum	9233
Arsenophonus	81
Artemia	1
Artemisia	1
Arthrobacter	44236
Arthrobotrys	16
Arthroderma	1899
Arthrospira	4711
Articulospora	5
Arundinaria	2
Arundo	1
Asaia	27
Asarum	1
Ascaris	16
Ascidia	1
Ascobolus	6
Ascosphaera	1
Asfivirus	10
Asimina	1
Asparagus	3
Aspergillus	19127
Aspidoscelis	1
Asticcacaulis	2602
Astragalus	2
Athalia	1
Atopobium	1394
Atriplex	3
Atropa	3
Aurantimonas	3410
Aurelia	3
Aureobasidium	1
Aureococcus	6
Autographa	1
Avibacterium	1
Azoarcus	7363
Azohydromonas	3
Azorhizobium	12495
Azospirillum	10791
Azotobacter	2850
Babesia	18
Bacidia	1
Bacillus	58078
Bacopa	1
Bacteriovorax	1111
Bacteroides	18602
Bactrocera	1
Bagliettoa	2
Baileya	1
Balaenoptera	1
Bambusa	61
Barbatia	1
Barssia	10
Bartonella	1872
Basfia	402
Bathymodiolus	2
Batrachochytrium	1
Batrachoseps	1
Bdellovibrio	4222
Beggiatoa	2712
Beijerinckia	4696
Bellotia	1
Bemisia	1
Bergeyella	5
Bermanella	431
Beta	15
Betabaculovirus	1
Betula	2
Beutenbergia	15769
Bibersteinia	18
Bicaudavirus	1
Bicyclus	1
Bifidobacterium	6302
Bigelowiella	10
Bilophila	792
Bipes	1
Biston	1
Blaberus	1
Blakeslea	2
Blastobotrys	3
Blastochloris	31
Blastocladiella	3
Blastocystis	53
Blastopirellula	15113
Blattabacterium	243
Blattella	2
Blautia	1522
Blepharostoma	1
Blomia	1
Blumeria	11
Bodo	1
Boechera	1
Boletus	2
Bombyx	33
Boquila	1
Bordetella	19429
Boreoplaca	1
Borrelia	868
Bos	725
Bosea	25
Bothrops	4
Botryococcus	4
Botryosphaeria	3
Botryotinia	2349
Bouteloua	96
Bpp-1-like viruses	6
Brachionus	1
Brachybacterium	3166
Brachycodilla	1
Brachymonas	15
Brachypodium	1
Brachyspira	1007
Bradyrhizobium	119988
Branchiostoma	883
Brassica	66
Brenneria	1
Brevibacillus	6136
Brevibacterium	4926
Brevundimonas	3873
Brimeura	1
Brochothrix	1
Brontispa	1
Brucella	7549
Brugia	107
Brunonia	1
Bryopsis	2
Buchnera	352
Bulleidia	93
Bungarus	1
Bunonema	1
Burkholderia	96833
