mgrastID,metagenomeID,sampleID,Identifier assumptions,bp Count,Sequence Count,Biome,Feature,Material,Location,Country,Coordinates,Lat,Long,Sequence Type,Sequence Method,utmZone
4637809.3,BART_004_41.27_36.Organic.20140619.join,BART_004-O-27-36-20140619,,"1,357,006,390","8,200,978",terrestrial biome,soil,surface soil,Bartlett Experimental Forest,USA,"44.041571, -71.28692",44.041571,-71.28692,WGS,illumina,19
4637810.3,CPER_001.21.Mineral.xx_xx.20140715.join,CPER_001-M-20140715-C,,"837,847,783","5,144,889",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4637811.3,CPER_001.SE.Mineral.20_7.20140116.join,CPER_001-M-20-7-20140116,,"1,837,009,725","11,400,845",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4637812.3,CPER_001.XX.Mineral.xx_xx.20130701.join,CPER_001-M-20130701-C,,"1,552,691,234","9,485,684",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4637813.3,CPER_001.XX.Mineral.xx_xx.20131024.join,CPER_001-M-20131024-C,,"1,590,667,498","9,732,620",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4637814.3,CPER_001.XX.Mineral.xx_xx.20140116.join,CPER_001-M-20140116-C,,"1,470,334,280","9,134,355",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4637815.3,CPER_001.xx.Mineral.xx_xx.20140415.join,CPER_001-M-20140415-C,,"1,095,906,763","6,614,956",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.851012, -104.701302",40.851012,-104.701302,WGS,illumina,13
4637816.3,CPER_002.NW.Mineral.14_37.20140117.join,CPER_002-M-14-37-20140117,,"2,067,710,705","12,636,609",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4637817.3,CPER_002.XX.Mineral.xx_xx.20130701.join,CPER_002-M-20130701-C,,"2,118,511,828","12,908,855",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4637818.3,CPER_002.XX.Mineral.xx_xx.20131024.join,CPER_002-M-20131024-C,,"1,471,363,166","9,029,258",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4637819.3,CPER_002.XX.Mineral.xx_xx.20140117.join,CPER_002-M-20140117-C,,"2,355,653,725","14,538,906",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4637820.3,CPER_002.xx.Mineral.xx_xx.20140415.join,CPER_002-M-20140415-C,,"1,299,500,311","7,773,253",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.810934, -104.729248",40.810934,-104.729248,WGS,illumina,13
4637821.3,CPER_003.23.Mineral.35_15.20140415.join,CPER_003-M-35-15-20140415,,"1,799,019,067","11,093,691",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
4637822.3,CPER_003.NW.Mineral.7_21.20140116.join,CPER_003-M-7-21-20140116,,"1,610,143,424","9,995,738",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
4637823.3,CPER_003.XX.Mineral.xx_xx.20130701.join,CPER_003-M-20130701-C,,"1,806,992,713","11,129,555",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
4637824.3,CPER_003.XX.Mineral.xx_xx.20140116.join,CPER_003-M-20140116-C,,"4,044,617,209","25,469,127",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
4637825.3,CPER_003.xx.Mineral.xx_xx.20140415.join,CPER_003-M-20140415-C,,"1,841,758,174","11,627,943",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
4637826.3,CPER_003.xx.Mineral.xx_xx.20140716.join,CPER_003-M-20140716-C,,"903,625,496","5,666,108",Temperate grasslands,plain,surface soil,Central Plains Experimental Range,USA,"40.818451, -104.707164",40.818451,-104.707164,WGS,illumina,13
