"","sample_name","latitude","longitude","country","location","biome","feature","material","collection_timezone","env_package"
"1","BART_004-O-27-36-20140619",44.04172,-71.28684,"USA","Bartlett Experimental Forest","terrestrial biome","soil","surface soil","UTC-5","soil"
"2","CPER_001-M-20140715-C",40.851012,-104.701302,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"3","CPER_001-M-20-7-20140116",40.85089,-104.7013,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"4","CPER_001-M-20130701-C",40.851012,-104.701302,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"5","CPER_001-M-20131024-C",40.851012,-104.701302,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"6","CPER_001-M-20140116-C",40.851012,-104.701302,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"7","CPER_001-M-20140415-C",40.851012,-104.701302,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"8","CPER_002-M-14-37-20140117",40.81109,-104.72932,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"9","CPER_002-M-20130701-C",40.810934,-104.729248,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"10","CPER_002-M-20131024-C",40.810934,-104.729248,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"11","CPER_002-M-20140117-C",40.810934,-104.729248,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"12","CPER_002-M-20140415-C",40.810934,-104.729248,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"13","CPER_003-M-35-15-20140415",40.81841,-104.70699,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"14","CPER_003-M-7-21-20140116",40.81846,-104.70732,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"15","CPER_003-M-20130701-C",40.818451,-104.707164,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"16","CPER_003-M-20140116-C",40.818451,-104.707164,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"17","CPER_003-M-20140415-C",40.818451,-104.707164,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"18","CPER_003-M-20140716-C",40.818451,-104.707164,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
"19","CPER_004-M-10-5-20140117",40.81262,-104.69699,"USA","Central Plains Experimental Range","Temperate grasslands","plain","surface soil","UTC-7","soil"
