"","metagenomeID","sampleType","ShannonIndex","sampleID","Event_name","siteID","plotID","SpeciesRichness"
"1","CPER.001.NE.Mineral.25.38.20130701.join","Individual",6.08333764933766,"CPER_001-M-25-38-20130701","CPER_001-M-20130701","CPER","CPER_001",1562
"2","CPER.001.NE.Mineral.38.38.20131024.join","Individual",6.14856382906791,"CPER_001-M-38-38-20131024","CPER_001-M-20131024","CPER","CPER_001",1585
"3","CPER.002.SE.Mineral.36.5.20130701.join","Individual",5.98850273667864,"CPER_002-M-36-5-20130701","CPER_002-M-20130701","CPER","CPER_002",1581
"4","CPER.002.SE.Mineral.38.8.20131024.join","Individual",5.94380454351989,"CPER_002-M-38-8-20131024","CPER_002-M-20131024","CPER","CPER_002",1575
"5","CPER.003.SW.Mineral.3.10.20130701.join","Individual",6.11424095984139,"CPER_003-M-3-10-20130701","CPER_003-M-20130701","CPER","CPER_003",1570
"6","CPER.004.NW.Mineral.5.35.20130701.join","Individual",6.02150293740708,"CPER_004-M-5-35-20130701","CPER_004-M-20130701","CPER","CPER_004",1563
"7","CPER_001.SE.Mineral.20_7.20140116.join","Individual",6.04322656246418,"CPER_001-M-20-7-20140116","CPER_001-M-20140116","CPER","CPER_001",1550
"8","CPER_001.XX.Mineral.xx_xx.20130701.join","Composite",6.02828765426795,"CPER_001-M-20130701-C","CPER_001-M-20130701","CPER","CPER_001",1561
"9","CPER_001.XX.Mineral.xx_xx.20131024.join","Composite",6.05537895529691,"CPER_001-M-20131024-C","CPER_001-M-20131024","CPER","CPER_001",1572
"10","CPER_001.XX.Mineral.xx_xx.20140116.join","Composite",6.06127703707162,"CPER_001-M-20140116-C","CPER_001-M-20140116","CPER","CPER_001",1561
"11","CPER_002.NW.Mineral.14_37.20140117.join","Individual",5.95757340295084,"CPER_002-M-14-37-20140117","CPER_002-M-20140117","CPER","CPER_002",1565
"12","CPER_002.XX.Mineral.xx_xx.20130701.join","Composite",5.89656043578033,"CPER_002-M-20130701-C","CPER_002-M-20130701","CPER","CPER_002",1580
"13","CPER_002.XX.Mineral.xx_xx.20131024.join","Composite",5.92476031561739,"CPER_002-M-20131024-C","CPER_002-M-20131024","CPER","CPER_002",1574
"14","CPER_002.XX.Mineral.xx_xx.20140117.join","Composite",5.96934770837208,"CPER_002-M-20140117-C","CPER_002-M-20140117","CPER","CPER_002",1574
"15","CPER_003.23.Mineral.35_15.20140415.join","Individual",6.02439693106546,"CPER_003-M-35-15-20140415","CPER_003-M-20140415","CPER","CPER_003",1563
"16","CPER_003.NW.Mineral.7_21.20140116.join","Individual",6.03708459768959,"CPER_003-M-7-21-20140116","CPER_003-M-20140116","CPER","CPER_003",1603
"17","CPER_003.XX.Mineral.xx_xx.20130701.join","Composite",6.00648104426264,"CPER_003-M-20130701-C","CPER_003-M-20130701","CPER","CPER_003",1570
"18","CPER_003.XX.Mineral.xx_xx.20140116.join","Composite",6.03107394735866,"CPER_003-M-20140116-C","CPER_003-M-20140116","CPER","CPER_003",1572
"19","CPER_003.xx.Mineral.xx_xx.20140415.join","Composite",6.0349614859365,"CPER_003-M-20140415-C","CPER_003-M-20140415","CPER","CPER_003",1539
"20","CPER_004.SW.Mineral.10_5.20140117.join","Individual",5.99146748324909,"CPER_004-M-10-5-20140117","CPER_004-M-20140117","CPER","CPER_004",1574
"21","CPER_004.XX.Mineral.xx_xx.20130701.join","Composite",5.99367246434761,"CPER_004-M-20130701-C","CPER_004-M-20130701","CPER","CPER_004",1563
"22","CPER_004.XX.Mineral.xx_xx.20140117.join","Composite",6.01596038232656,"CPER_004-M-20140117-C","CPER_004-M-20140117","CPER","CPER_004",1573
"23","DSNY.101.23.M.35.7.20131114.join","Individual",5.64365932712255,"DSNY_101-M-35-7-20131114","DSNY_101-M-20131114","DSNY","DSNY_101",1529
"24","DSNY.101.39.M.9.26.20130731.join","Individual",6.04245025244207,"DSNY_101-M-9-26-20130731","DSNY_101-M-20130731","DSNY","DSNY_101",1567
"25","DSNY.101.xx.M.xx.x.20131114.join","Composite",5.76802288063543,"DSNY_101-M-20131114-C","DSNY_101-M-20131114","DSNY","DSNY_101",1556
"26","DSNY.201.23.M.24.9.20131114.join","Individual",5.78393550678104,"DSNY_201-M-24-9-20131114","DSNY_201-M-20131114","DSNY","DSNY_201",1513
"27","DSNY.201.39.M.6.30.20130731.join","Individual",5.86498318553378,"DSNY_201-M-6-30-20130731","DSNY_201-M-20130731","DSNY","DSNY_201",1559
"28","DSNY.201.xx.M.xx.x.20131114.join","Composite",5.76768310861465,"DSNY_201-M-20131114-C","DSNY_201-M-20131114","DSNY","DSNY_201",1560
"29","DSNY.265.39.M.1.21.20130731.join","Individual",5.79757489881348,"DSNY_265-M-1-21-20130731","DSNY_265-M-20130731","DSNY","DSNY_265",1538
"30","DSNY.265.xx.M.xx.x.20130731.join","Composite",5.84394018766314,"DSNY_265-M-20130731-C","DSNY_265-M-20130731","DSNY","DSNY_265",1563
"31","DSNY.293.39.M.16.35.20130731.join","Individual",5.84789463676097,"DSNY_293-M-16-35-20130731","DSNY_293-M-20130731","DSNY","DSNY_293",1567
"32","DSNY.293.xx.M.xx.x.20130731.join","Composite",5.84208172065511,"DSNY_293-M-20130731-C","DSNY_293-M-20130731","DSNY","DSNY_293",1523
"33","DSNY_009.21.M.4.7.20140910.join","Individual",5.66254177615186,"DSNY_009-M-4-7-20140910","DSNY_009-M-20140910","DSNY","DSNY_009",1561
"34","DSNY_009.23.M.33.14.20140409.join","Individual",5.71025271333223,"DSNY_009-M-33-14-20140409","DSNY_009-M-20140409","DSNY","DSNY_009",1572
"35","DSNY_009.23.M.37.16.20140327.join","Individual",5.69055672240784,"DSNY_009-M-37-16-20140327","DSNY_009-M-20140327","DSNY","DSNY_009",1561
