,0,1,2
"{'id': ""'Nostoc azollae' 0708"", 'metadata': {'taxonomy': ['Bacteria', 'Cyanobacteria', 'unclassified (derived from Cyanobacteria)', 'Nostocales', 'Nostocaceae', 'Trichormus', 'Trichormus azollae', ""'Nostoc azollae' 0708""]}}",0,0,568
"{'id': 'Abiotrophia defectiva ATCC 49176', 'metadata': {'taxonomy': ['Bacteria', 'Firmicutes', 'Bacilli', 'Lactobacillales', 'Aerococcaceae', 'Abiotrophia', 'Abiotrophia defectiva', 'Abiotrophia defectiva ATCC 49176']}}",1,0,170
"{'metadata': {'taxonomy': ['Eukaryota', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'Acanthamoeba', 'Acanthamoeba castellanii', 'Acanthamoeba castellanii']}, 'id': 'Acanthamoeba castellanii'}",2,0,9
"{'metadata': {'taxonomy': ['Eukaryota', 'Mollusca', 'Bivalvia', 'Veneroida', 'Cardiidae', 'Acanthocardia', 'Acanthocardia tuberculata', 'Acanthocardia tuberculata']}, 'id': 'Acanthocardia tuberculata'}",3,0,2
"{'id': 'Acanthocystis turfacea Chlorella virus 1', 'metadata': {'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Phycodnaviridae', 'Chlorovirus', 'Acanthocystis turfacea Chlorella virus 1', 'Acanthocystis turfacea Chlorella virus 1']}}",4,0,7
"{'id': 'Acaryochloris marina MBIC11017', 'metadata': {'taxonomy': ['Bacteria', 'Cyanobacteria', 'unclassified (derived from Cyanobacteria)', 'Chroococcales', 'unclassified (derived from Chroococcales)', 'Acaryochloris', 'Acaryochloris marina', 'Acaryochloris marina MBIC11017']}}",5,0,3342
"{'id': 'Acetivibrio cellulolyticus CD2', 'metadata': {'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Clostridiales', 'Ruminococcaceae', 'Acetivibrio', 'Acetivibrio cellulolyticus', 'Acetivibrio cellulolyticus CD2']}}",6,0,851
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodospirillales', 'Acetobacteraceae', 'Acetobacter', 'Acetobacter pasteurianus', 'Acetobacter pasteurianus IFO 3283-01']}, 'id': 'Acetobacter pasteurianus IFO 3283-01'}",7,0,946
"{'metadata': {'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Halanaerobiales', 'Halobacteroidaceae', 'Acetohalobium', 'Acetohalobium arabaticum', 'Acetohalobium arabaticum DSM 5501']}, 'id': 'Acetohalobium arabaticum DSM 5501'}",8,0,961
"{'metadata': {'taxonomy': ['Bacteria', 'Tenericutes', 'Mollicutes', 'Acholeplasmatales', 'Acholeplasmataceae', 'Acholeplasma', 'Acholeplasma laidlawii', 'Acholeplasma laidlawii PG-8A']}, 'id': 'Acholeplasma laidlawii PG-8A'}",9,0,74
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter denitrificans', 'Achromobacter denitrificans']}, 'id': 'Achromobacter denitrificans'}",10,0,16
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter piechaudii', 'Achromobacter piechaudii ATCC 43553']}, 'id': 'Achromobacter piechaudii ATCC 43553'}",11,0,2118
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter xylosoxidans', 'Achromobacter xylosoxidans A8']}, 'id': 'Achromobacter xylosoxidans A8'}",12,0,3365
"{'metadata': {'taxonomy': ['Bacteria', 'Firmicutes', 'Negativicutes', 'Selenomonadales', 'Acidaminococcaceae', 'Acidaminococcus', 'Acidaminococcus fermentans', 'Acidaminococcus fermentans DSM 20731']}, 'id': 'Acidaminococcus fermentans DSM 20731'}",13,0,508
"{'id': 'Acidaminococcus sp. D21', 'metadata': {'taxonomy': ['Bacteria', 'Firmicutes', 'Negativicutes', 'Selenomonadales', 'Acidaminococcaceae', 'Acidaminococcus', 'Acidaminococcus sp. D21', 'Acidaminococcus sp. D21']}}",14,0,380
"{'id': 'Acidilobus saccharovorans 345-15', 'metadata': {'taxonomy': ['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Acidilobales', 'Acidilobaceae', 'Acidilobus', 'Acidilobus saccharovorans', 'Acidilobus saccharovorans 345-15']}}",15,0,171
"{'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Acidimicrobiales', 'Acidimicrobiaceae', 'Acidimicrobium', 'Acidimicrobium ferrooxidans', 'Acidimicrobium ferrooxidans DSM 10331']}, 'id': 'Acidimicrobium ferrooxidans DSM 10331'}",16,0,5420
"{'id': 'Acidiphilium cryptum JF-5', 'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodospirillales', 'Acetobacteraceae', 'Acidiphilium', 'Acidiphilium cryptum', 'Acidiphilium cryptum JF-5']}}",17,0,4150
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus caldus', 'Acidithiobacillus caldus']}, 'id': 'Acidithiobacillus caldus'}",18,0,17
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus caldus', 'Acidithiobacillus caldus ATCC 51756']}, 'id': 'Acidithiobacillus caldus ATCC 51756'}",19,0,912
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans']}, 'id': 'Acidithiobacillus ferrooxidans'}",20,0,8
"{'id': 'Acidithiobacillus ferrooxidans ATCC 23270', 'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans ATCC 23270']}}",21,0,1101
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans ATCC 53993']}, 'id': 'Acidithiobacillus ferrooxidans ATCC 53993'}",22,0,1162
"{'id': 'Acidobacterium capsulatum ATCC 51196', 'metadata': {'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium capsulatum', 'Acidobacterium capsulatum ATCC 51196']}}",23,0,14527
"{'id': 'Acidobacterium sp. MP5ACTX8', 'metadata': {'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Granulicella', 'Granulicella mallensis', 'Acidobacterium sp. MP5ACTX8']}}",24,0,13890
"{'metadata': {'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium sp. MP5ACTX9', 'Acidobacterium sp. MP5ACTX9']}, 'id': 'Acidobacterium sp. MP5ACTX9'}",25,0,10941
"{'id': 'Acidobacterium sp. SP1PR4', 'metadata': {'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Terriglobus', 'Terriglobus saanensis', 'Acidobacterium sp. SP1PR4']}}",26,0,12502
"{'id': 'Acidothermus cellulolyticus 11B', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Acidothermaceae', 'Acidothermus', 'Acidothermus cellulolyticus', 'Acidothermus cellulolyticus 11B']}}",27,0,6572
"{'id': 'Acidovorax avenae subsp. avenae ATCC 19860', 'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax avenae', 'Acidovorax avenae subsp. avenae ATCC 19860']}}",28,0,1188
"{'id': 'Acidovorax citrulli AAC00-1', 'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax citrulli', 'Acidovorax citrulli AAC00-1']}}",29,0,2299
"{'metadata': {'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax delafieldii', 'Acidovorax delafieldii 2AN']}, 'id': 'Acidovorax delafieldii 2AN'}",30,0,1746
