,0,1,2
"{'id': 'Acidimicrobium ferrooxidans', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Acidimicrobiales', 'Acidimicrobiaceae', 'Acidimicrobium', 'Acidimicrobium ferrooxidans', 'Acidimicrobium ferrooxidans']}}",0,0,4
"{'id': 'Acidimicrobium ferrooxidans DSM 10331', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Acidimicrobiales', 'Acidimicrobiaceae', 'Acidimicrobium', 'Acidimicrobium ferrooxidans', 'Acidimicrobium ferrooxidans DSM 10331']}}",1,0,1
"{'id': 'Acidithiomicrobium sp. P2', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Acidimicrobiales', 'Acidimicrobiaceae', 'Acidithiomicrobium', 'Acidithiomicrobium sp. P2', 'Acidithiomicrobium sp. P2']}}",2,0,7
"{'id': 'Acidobacterium capsulatum', 'metadata': {'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium capsulatum', 'Acidobacterium capsulatum']}}",3,0,1
"{'id': 'Acidobacterium sp. SP1PR4', 'metadata': {'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Terriglobus', 'Terriglobus saanensis', 'Acidobacterium sp. SP1PR4']}}",4,0,1
"{'id': 'Acidothermus cellulolyticus', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Acidothermaceae', 'Acidothermus', 'Acidothermus cellulolyticus', 'Acidothermus cellulolyticus']}}",5,0,7
"{'id': 'Actinocorallia aurantiaca', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Thermomonosporaceae', 'Actinocorallia', 'Actinocorallia aurantiaca', 'Actinocorallia aurantiaca']}}",6,0,10
"{'id': 'Actinocorallia glomerata', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Thermomonosporaceae', 'Actinocorallia', 'Actinocorallia glomerata', 'Actinocorallia glomerata']}}",7,0,3
"{'id': 'Actinomadura formosensis', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Thermomonosporaceae', 'Actinomadura', 'Actinomadura formosensis', 'Actinomadura formosensis']}}",8,0,2
"{'id': 'Actinomadura madurae', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Thermomonosporaceae', 'Actinomadura', 'Actinomadura madurae', 'Actinomadura madurae']}}",9,0,2
"{'id': 'Actinomadura rubrobrunea', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Thermomonosporaceae', 'Actinomadura', 'Actinomadura rubrobrunea', 'Actinomadura rubrobrunea']}}",10,0,1
"{'id': 'Actinomadura vinacea', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Thermomonosporaceae', 'Actinomadura', 'Actinomadura vinacea', 'Actinomadura vinacea']}}",11,0,1
"{'id': 'Actinoplanes brasiliensis', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Micromonosporaceae', 'Actinoplanes', 'Actinoplanes brasiliensis', 'Actinoplanes brasiliensis']}}",12,0,1
"{'id': 'Actinoplanes missouriensis', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Micromonosporaceae', 'Actinoplanes', 'Actinoplanes missouriensis', 'Actinoplanes missouriensis']}}",13,0,7
"{'id': 'Actinoplanes philippinensis', 'metadata': {'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Micromonosporaceae', 'Actinoplanes', 'Actinoplanes philippinensis', 'Actinoplanes philippinensis']}}",14,0,2
