,0,1,2
"{'id': 'SS00001', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'BH2577 unknown conserved protein in B. subtilis']}}",0,0,36
"{'id': 'SS00002', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)']}}",1,0,975
"{'id': 'SS00003', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'Cell division protein FtsL']}}",2,0,7
"{'id': 'SS00004', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'Cell division protein MraZ']}}",3,0,76
"{'id': 'SS00006', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'Penicillin-binding protein 2 (PBP-2)']}}",4,0,249
"{'id': 'SS00008', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'rRNA small subunit methyltransferase H']}}",5,0,403
"{'id': 'SS00009', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'rRNA small subunit methyltransferase I']}}",6,0,394
"{'id': 'SS00010', 'metadata': {'ontology': ['RNA Metabolism', 'RNA processing and modification', '16S_rRNA_modification_within_P_site_of_ribosome', 'Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)']}}",7,0,31
"{'id': 'SS00013', 'metadata': {'ontology': ['Secondary Metabolism', 'Bacterial cytostatics, differentiation factors and antibiotics', '2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens', 'Acyl coenzyme A dehydrogenase, BldA, contributes to the proper timing of aerial mycelium formation and antibiotic production']}}",8,0,8
"{'id': 'SS00017', 'metadata': {'ontology': ['Secondary Metabolism', 'Bacterial cytostatics, differentiation factors and antibiotics', '2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens', 'A-factor biosynthesis protein AfsA']}}",9,0,2
"{'id': 'SS00032', 'metadata': {'ontology': ['Secondary Metabolism', 'Bacterial cytostatics, differentiation factors and antibiotics', '2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens', 'Pleiotropic negative regulator for morphological and physiological development in Streptomyces, BldD']}}",10,0,35
"{'id': 'SS00033', 'metadata': {'ontology': ['Secondary Metabolism', 'Bacterial cytostatics, differentiation factors and antibiotics', '2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens', 'Putative methyltransferase,bldM, influences various aspects of colony growth and development']}}",11,0,2
"{'id': 'SS00036', 'metadata': {'ontology': ['Carbohydrates', 'Monosaccharides', '2-Ketogluconate_Utilization', '2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)']}}",12,0,18
"{'id': 'SS00038', 'metadata': {'ontology': ['Carbohydrates', 'Monosaccharides', '2-Ketogluconate_Utilization', '2-ketogluconate transporter']}}",13,0,10
"{'id': 'SS00042', 'metadata': {'ontology': ['Carbohydrates', 'Organic acids', '2-methylcitrate_to_2-methylaconitate_metabolism_cluster', '2-methylaconitate racemase']}}",14,0,28
"{'id': 'SS00043', 'metadata': {'ontology': ['Carbohydrates', 'Organic acids', '2-methylcitrate_to_2-methylaconitate_metabolism_cluster', '2-Methylcitrate dehydratase AcnD']}}",15,0,42
"{'id': 'SS00044', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', '2-deoxyglucose-6-phosphate hydrolase YniC']}}",16,0,41
"{'id': 'SS00045', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Phosphoglycolate phosphatase, archaeal type (EC 3.1.3.18)']}}",17,0,5
"{'id': 'SS00046', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Phosphoglycolate phosphatase (EC 3.1.3.18)']}}",18,0,71
"{'id': 'SS00047', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Putative phosphatase YfbT']}}",19,0,28
"{'id': 'SS00048', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Putative phosphatase YieH']}}",20,0,27
"{'id': 'SS00049', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Putative phosphatase YqaB']}}",21,0,7
"{'id': 'SS00050', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C']}}",22,0,24
"{'id': 'SS00051', 'metadata': {'ontology': ['DNA Metabolism', 'DNA repair', '2-phosphoglycolate_salvage', 'Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase']}}",23,0,8
"{'id': 'SS00052', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)']}}",24,0,162
"{'id': 'SS00053', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)']}}",25,0,196
"{'id': 'SS00054', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)']}}",26,0,28
"{'id': 'SS00055', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)']}}",27,0,12
"{'id': 'SS00056', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)']}}",28,0,301
"{'id': 'SS00058', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)']}}",29,0,5
"{'id': 'SS00059', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '4-hydroxyphenylacetate symporter, major facilitator superfamily (MFS)']}}",30,0,11
"{'id': 'SS00060', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)']}}",31,0,116
"{'id': 'SS00061', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)']}}",32,0,198
"{'id': 'SS00062', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', '5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)']}}",33,0,196
"{'id': 'SS00063', 'metadata': {'ontology': ['Metabolism of Aromatic Compounds', 'Metabolism of central aromatic intermediates', '4-Hydroxyphenylacetic_acid_catabolic_pathway', 'Homoprotocatechuate degradative operon repressor']}}",34,0,4
"{'id': 'SS00065', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', '5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)']}}",35,0,618
"{'id': 'SS00066', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', '5-FCL-like protein']}}",36,0,63
"{'id': 'SS00067', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', '5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)']}}",37,0,61
"{'id': 'SS00068', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Alcohol dehydrogenase (EC 1.1.1.1)']}}",38,0,1648
"{'id': 'SS00069', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Alternative dihydrofolate reductase 2']}}",39,0,36
"{'id': 'SS00070', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Butyryl-CoA dehydrogenase (EC 1.3.99.2)']}}",40,0,2497
"{'id': 'SS00071', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Dihydrofolate reductase (EC 1.5.1.3)']}}",41,0,996
"{'id': 'SS00072', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)']}}",42,0,697
"{'id': 'SS00073', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Dihydrolipoamide dehydrogenase (EC 1.8.1.4)']}}",43,0,477
"{'id': 'SS00074', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Formate--tetrahydrofolate ligase (EC 6.3.4.3)']}}",44,0,345
"{'id': 'SS00075', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Formiminotetrahydrofolate cyclodeaminase (EC 4.3.1.4)']}}",45,0,30
"{'id': 'SS00076', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Formyltetrahydrofolate deformylase (EC 3.5.1.10)']}}",46,0,146
"{'id': 'SS00077', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Glutamate formiminotransferase (EC 2.1.2.5)']}}",47,0,142
"{'id': 'SS00078', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'H4MPt-dependent SHMT']}}",48,0,24
"{'id': 'SS00079', 'metadata': {'ontology': ['Cofactors, Vitamins, Prosthetic Groups, Pigments', 'Folate and pterines', '5-FCL-like_protein', 'Hydroxyethylthiazole kinase (EC 2.7.1.50)']}}",49,0,18
