,id,metadata
0,'Nostoc azollae' 0708,"{'taxonomy': ['Bacteria', 'Cyanobacteria', 'unclassified (derived from Cyanobacteria)', 'Nostocales', 'Nostocaceae', 'Trichormus', 'Trichormus azollae', ""'Nostoc azollae' 0708""]}"
1,Abiotrophia defectiva ATCC 49176,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Bacilli', 'Lactobacillales', 'Aerococcaceae', 'Abiotrophia', 'Abiotrophia defectiva', 'Abiotrophia defectiva ATCC 49176']}"
2,Acanthamoeba castellanii,"{'taxonomy': ['Eukaryota', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'Acanthamoeba', 'Acanthamoeba castellanii', 'Acanthamoeba castellanii']}"
3,Acanthocardia tuberculata,"{'taxonomy': ['Eukaryota', 'Mollusca', 'Bivalvia', 'Veneroida', 'Cardiidae', 'Acanthocardia', 'Acanthocardia tuberculata', 'Acanthocardia tuberculata']}"
4,Acanthocystis turfacea Chlorella virus 1,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Phycodnaviridae', 'Chlorovirus', 'Acanthocystis turfacea Chlorella virus 1', 'Acanthocystis turfacea Chlorella virus 1']}"
5,Acaryochloris marina MBIC11017,"{'taxonomy': ['Bacteria', 'Cyanobacteria', 'unclassified (derived from Cyanobacteria)', 'Chroococcales', 'unclassified (derived from Chroococcales)', 'Acaryochloris', 'Acaryochloris marina', 'Acaryochloris marina MBIC11017']}"
6,Acetivibrio cellulolyticus CD2,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Clostridiales', 'Ruminococcaceae', 'Acetivibrio', 'Acetivibrio cellulolyticus', 'Acetivibrio cellulolyticus CD2']}"
7,Acetobacter pasteurianus IFO 3283-01,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodospirillales', 'Acetobacteraceae', 'Acetobacter', 'Acetobacter pasteurianus', 'Acetobacter pasteurianus IFO 3283-01']}"
8,Acetohalobium arabaticum DSM 5501,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Halanaerobiales', 'Halobacteroidaceae', 'Acetohalobium', 'Acetohalobium arabaticum', 'Acetohalobium arabaticum DSM 5501']}"
9,Acholeplasma laidlawii PG-8A,"{'taxonomy': ['Bacteria', 'Tenericutes', 'Mollicutes', 'Acholeplasmatales', 'Acholeplasmataceae', 'Acholeplasma', 'Acholeplasma laidlawii', 'Acholeplasma laidlawii PG-8A']}"
10,Achromobacter denitrificans,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter denitrificans', 'Achromobacter denitrificans']}"
11,Achromobacter piechaudii ATCC 43553,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter piechaudii', 'Achromobacter piechaudii ATCC 43553']}"
12,Achromobacter xylosoxidans A8,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter xylosoxidans', 'Achromobacter xylosoxidans A8']}"
13,Acidaminococcus fermentans DSM 20731,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Negativicutes', 'Selenomonadales', 'Acidaminococcaceae', 'Acidaminococcus', 'Acidaminococcus fermentans', 'Acidaminococcus fermentans DSM 20731']}"
14,Acidaminococcus sp. D21,"{'taxonomy': ['Bacteria', 'Firmicutes', 'Negativicutes', 'Selenomonadales', 'Acidaminococcaceae', 'Acidaminococcus', 'Acidaminococcus sp. D21', 'Acidaminococcus sp. D21']}"
15,Acidilobus saccharovorans 345-15,"{'taxonomy': ['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Acidilobales', 'Acidilobaceae', 'Acidilobus', 'Acidilobus saccharovorans', 'Acidilobus saccharovorans 345-15']}"
16,Acidimicrobium ferrooxidans DSM 10331,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Acidimicrobiales', 'Acidimicrobiaceae', 'Acidimicrobium', 'Acidimicrobium ferrooxidans', 'Acidimicrobium ferrooxidans DSM 10331']}"
17,Acidiphilium cryptum JF-5,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodospirillales', 'Acetobacteraceae', 'Acidiphilium', 'Acidiphilium cryptum', 'Acidiphilium cryptum JF-5']}"
18,Acidithiobacillus caldus,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus caldus', 'Acidithiobacillus caldus']}"
19,Acidithiobacillus caldus ATCC 51756,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus caldus', 'Acidithiobacillus caldus ATCC 51756']}"
20,Acidithiobacillus ferrooxidans,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans']}"
21,Acidithiobacillus ferrooxidans ATCC 23270,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans ATCC 23270']}"
22,Acidithiobacillus ferrooxidans ATCC 53993,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans ATCC 53993']}"
23,Acidobacterium capsulatum ATCC 51196,"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium capsulatum', 'Acidobacterium capsulatum ATCC 51196']}"
24,Acidobacterium sp. MP5ACTX8,"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Granulicella', 'Granulicella mallensis', 'Acidobacterium sp. MP5ACTX8']}"
25,Acidobacterium sp. MP5ACTX9,"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium sp. MP5ACTX9', 'Acidobacterium sp. MP5ACTX9']}"
26,Acidobacterium sp. SP1PR4,"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Terriglobus', 'Terriglobus saanensis', 'Acidobacterium sp. SP1PR4']}"
27,Acidothermus cellulolyticus 11B,"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Acidothermaceae', 'Acidothermus', 'Acidothermus cellulolyticus', 'Acidothermus cellulolyticus 11B']}"
28,Acidovorax avenae subsp. avenae ATCC 19860,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax avenae', 'Acidovorax avenae subsp. avenae ATCC 19860']}"
29,Acidovorax citrulli AAC00-1,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax citrulli', 'Acidovorax citrulli AAC00-1']}"
30,Acidovorax delafieldii 2AN,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax delafieldii', 'Acidovorax delafieldii 2AN']}"
31,Acidovorax ebreus TPSY,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax ebreus', 'Acidovorax ebreus TPSY']}"
32,Acidovorax sp. JS42,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax sp. JS42', 'Acidovorax sp. JS42']}"
33,Aciduliprofundum boonei T469,"{'taxonomy': ['Archaea', 'Euryarchaeota', 'unclassified (derived from Euryarchaeota)', 'unclassified (derived from Euryarchaeota)', 'unclassified (derived from Euryarchaeota)', 'Aciduliprofundum', 'Aciduliprofundum boonei', 'Aciduliprofundum boonei T469']}"
34,Acinetobacter baumannii 6013113,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii 6013113']}"
35,Acinetobacter baumannii 6013150,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii 6013150']}"
36,Acinetobacter baumannii 6014059,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii 6014059']}"
37,Acinetobacter baumannii AB0057,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB0057']}"
38,Acinetobacter baumannii AB056,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB056']}"
39,Acinetobacter baumannii AB058,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB058']}"
40,Acinetobacter baumannii AB059,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB059']}"
41,Acinetobacter baumannii AB307-0294,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB307-0294']}"
42,Acinetobacter baumannii AB900,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB900']}"
43,Acinetobacter baumannii ACICU,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii ACICU']}"
44,Acinetobacter baumannii ATCC 17978,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii ATCC 17978']}"
45,Acinetobacter baumannii ATCC 19606,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii ATCC 19606']}"
46,Acinetobacter baumannii AYE,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AYE']}"
47,Acinetobacter baumannii SDF,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii SDF']}"
48,Acinetobacter calcoaceticus RUH2202,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter calcoaceticus', 'Acinetobacter calcoaceticus RUH2202']}"
49,Acinetobacter haemolyticus ATCC 19194,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter haemolyticus', 'Acinetobacter haemolyticus ATCC 19194']}"
50,Acinetobacter johnsonii SH046,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter johnsonii', 'Acinetobacter johnsonii SH046']}"
51,Acinetobacter junii SH205,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter junii', 'Acinetobacter junii SH205']}"
52,Acinetobacter lwoffii SH145,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter lwoffii', 'Acinetobacter lwoffii SH145']}"
53,Acinetobacter phage Ac42,"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Caudovirales', 'Myoviridae', 'T4-like viruses', 'Acinetobacter phage Ac42', 'Acinetobacter phage Ac42']}"
54,Acinetobacter radioresistens SH164,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter radioresistens', 'Acinetobacter radioresistens SH164']}"
55,Acinetobacter radioresistens SK82,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter radioresistens', 'Acinetobacter radioresistens SK82']}"
56,Acinetobacter sp. ADP1,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter sp. ADP1', 'Acinetobacter sp. ADP1']}"
57,Acinetobacter sp. ATCC 27244,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter sp. ATCC 27244', 'Acinetobacter sp. ATCC 27244']}"
58,Acinetobacter sp. DR1,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter oleivorans', 'Acinetobacter sp. DR1']}"
59,Acinetobacter sp. EB104,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter sp. EB104', 'Acinetobacter sp. EB104']}"
60,Acinetobacter sp. RUH2624,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter nosocomialis', 'Acinetobacter sp. RUH2624']}"
61,Acinetobacter sp. SH024,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter pittii', 'Acinetobacter sp. SH024']}"
62,Acinetobacter venetianus,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter venetianus', 'Acinetobacter venetianus']}"
63,Acorus americanus,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Liliopsida', 'Acorales', 'Acoraceae', 'Acorus', 'Acorus americanus', 'Acorus americanus']}"
64,Acorus calamus,"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Liliopsida', 'Acorales', 'Acoraceae', 'Acorus', 'Acorus calamus', 'Acorus calamus']}"
65,Acrida cinerea,"{'taxonomy': ['Eukaryota', 'Arthropoda', 'Insecta', 'Orthoptera', 'Acrididae', 'Acrida', 'Acrida cinerea', 'Acrida cinerea']}"
66,Acropora tenuis,"{'taxonomy': ['Eukaryota', 'Cnidaria', 'Anthozoa', 'Scleractinia', 'Acroporidae', 'Acropora', 'Acropora tenuis', 'Acropora tenuis']}"
67,Actinobacillus minor 202,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus minor', 'Actinobacillus minor 202']}"
68,Actinobacillus minor NM305,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus minor', 'Actinobacillus minor NM305']}"
69,Actinobacillus pleuropneumoniae,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae']}"
70,Actinobacillus pleuropneumoniae serovar 1 str. 4074,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 1 str. 4074']}"
71,Actinobacillus pleuropneumoniae serovar 10 str. D13039,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 10 str. D13039']}"
72,Actinobacillus pleuropneumoniae serovar 11 str. 56153,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 11 str. 56153']}"
73,Actinobacillus pleuropneumoniae serovar 12 str. 1096,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 12 str. 1096']}"
74,Actinobacillus pleuropneumoniae serovar 13 str. N273,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 13 str. N273']}"
75,Actinobacillus pleuropneumoniae serovar 2 str. 4226,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 2 str. 4226']}"
76,Actinobacillus pleuropneumoniae serovar 2 str. S1536,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 2 str. S1536']}"
77,Actinobacillus pleuropneumoniae serovar 3 str. JL03,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 3 str. JL03']}"
78,Actinobacillus pleuropneumoniae serovar 4 str. M62,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 4 str. M62']}"
79,Actinobacillus pleuropneumoniae serovar 5b str. L20,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 5b str. L20']}"
80,Actinobacillus pleuropneumoniae serovar 6 str. Femo,"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 6 str. Femo']}"
