xidxmetadata
0x'Nostoc azollae' 0708x"{'taxonomy': ['Bacteria', 'Cyanobacteria', 'unclassified (derived from Cyanobacteria)', 'Nostocales', 'Nostocaceae', 'Trichormus', 'Trichormus azollae', ""'Nostoc azollae' 0708""]}"
1xAbiotrophia defectiva ATCC 49176x"{'taxonomy': ['Bacteria', 'Firmicutes', 'Bacilli', 'Lactobacillales', 'Aerococcaceae', 'Abiotrophia', 'Abiotrophia defectiva', 'Abiotrophia defectiva ATCC 49176']}"
2xAcanthamoeba castellaniix"{'taxonomy': ['Eukaryota', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'unclassified (derived from Eukaryota)', 'Acanthamoeba', 'Acanthamoeba castellanii', 'Acanthamoeba castellanii']}"
3xAcanthocardia tuberculatax"{'taxonomy': ['Eukaryota', 'Mollusca', 'Bivalvia', 'Veneroida', 'Cardiidae', 'Acanthocardia', 'Acanthocardia tuberculata', 'Acanthocardia tuberculata']}"
4xAcanthocystis turfacea Chlorella virus 1x"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Phycodnaviridae', 'Chlorovirus', 'Acanthocystis turfacea Chlorella virus 1', 'Acanthocystis turfacea Chlorella virus 1']}"
5xAcaryochloris marina MBIC11017x"{'taxonomy': ['Bacteria', 'Cyanobacteria', 'unclassified (derived from Cyanobacteria)', 'Chroococcales', 'unclassified (derived from Chroococcales)', 'Acaryochloris', 'Acaryochloris marina', 'Acaryochloris marina MBIC11017']}"
6xAcetivibrio cellulolyticus CD2x"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Clostridiales', 'Ruminococcaceae', 'Acetivibrio', 'Acetivibrio cellulolyticus', 'Acetivibrio cellulolyticus CD2']}"
7xAcetobacter pasteurianus IFO 3283-01x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodospirillales', 'Acetobacteraceae', 'Acetobacter', 'Acetobacter pasteurianus', 'Acetobacter pasteurianus IFO 3283-01']}"
8xAcetohalobium arabaticum DSM 5501x"{'taxonomy': ['Bacteria', 'Firmicutes', 'Clostridia', 'Halanaerobiales', 'Halobacteroidaceae', 'Acetohalobium', 'Acetohalobium arabaticum', 'Acetohalobium arabaticum DSM 5501']}"
9xAcholeplasma laidlawii PG-8Ax"{'taxonomy': ['Bacteria', 'Tenericutes', 'Mollicutes', 'Acholeplasmatales', 'Acholeplasmataceae', 'Acholeplasma', 'Acholeplasma laidlawii', 'Acholeplasma laidlawii PG-8A']}"
10xAchromobacter denitrificansx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter denitrificans', 'Achromobacter denitrificans']}"
11xAchromobacter piechaudii ATCC 43553x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter piechaudii', 'Achromobacter piechaudii ATCC 43553']}"
12x"Achromobacter xylosoxidans A8"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Alcaligenaceae', 'Achromobacter', 'Achromobacter xylosoxidans', 'Achromobacter xylosoxidans A8']}"
13xAcidaminococcus fermentans DSM 20731x"{'taxonomy': ['Bacteria', 'Firmicutes', 'Negativicutes', 'Selenomonadales', 'Acidaminococcaceae', 'Acidaminococcus', 'Acidaminococcus fermentans', 'Acidaminococcus fermentans DSM 20731']}"
14xAcidaminococcus sp. D21x"{'taxonomy': ['Bacteria', 'Firmicutes', 'Negativicutes', 'Selenomonadales', 'Acidaminococcaceae', 'Acidaminococcus', 'Acidaminococcus sp. D21', 'Acidaminococcus sp. D21']}"
15xAcidilobus saccharovorans 345-15x"{'taxonomy': ['Archaea', 'Crenarchaeota', 'Thermoprotei', 'Acidilobales', 'Acidilobaceae', 'Acidilobus', 'Acidilobus saccharovorans', 'Acidilobus saccharovorans 345-15']}"
16x"Acidimicrobium ferrooxidans DSM 10331"x"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Acidimicrobiales', 'Acidimicrobiaceae', 'Acidimicrobium', 'Acidimicrobium ferrooxidans', 'Acidimicrobium ferrooxidans DSM 10331']}"
17xAcidiphilium cryptum JF-5x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Alphaproteobacteria', 'Rhodospirillales', 'Acetobacteraceae', 'Acidiphilium', 'Acidiphilium cryptum', 'Acidiphilium cryptum JF-5']}"
18xAcidithiobacillus caldusx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus caldus', 'Acidithiobacillus caldus']}"
19xAcidithiobacillus caldus ATCC 51756x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus caldus', 'Acidithiobacillus caldus ATCC 51756']}"
20x"Acidithiobacillus ferrooxidans"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans']}"
21x"Acidithiobacillus ferrooxidans ATCC 23270"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans ATCC 23270']}"
22x"Acidithiobacillus ferrooxidans ATCC 53993"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Acidithiobacillales', 'Acidithiobacillaceae', 'Acidithiobacillus', 'Acidithiobacillus ferrooxidans', 'Acidithiobacillus ferrooxidans ATCC 53993']}"
23xAcidobacterium capsulatum ATCC 51196x"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium capsulatum', 'Acidobacterium capsulatum ATCC 51196']}"
24xAcidobacterium sp. MP5ACTX8x"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Granulicella', 'Granulicella mallensis', 'Acidobacterium sp. MP5ACTX8']}"
25xAcidobacterium sp. MP5ACTX9x"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Acidobacterium', 'Acidobacterium sp. MP5ACTX9', 'Acidobacterium sp. MP5ACTX9']}"
26xAcidobacterium sp. SP1PR4x"{'taxonomy': ['Bacteria', 'Acidobacteria', 'Acidobacteriia', 'Acidobacteriales', 'Acidobacteriaceae', 'Terriglobus', 'Terriglobus saanensis', 'Acidobacterium sp. SP1PR4']}"
27xAcidothermus cellulolyticus 11Bx"{'taxonomy': ['Bacteria', 'Actinobacteria', 'Actinobacteria (class)', 'Actinomycetales', 'Acidothermaceae', 'Acidothermus', 'Acidothermus cellulolyticus', 'Acidothermus cellulolyticus 11B']}"
28x"Acidovorax avenae subsp. avenae ATCC 19860"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax avenae', 'Acidovorax avenae subsp. avenae ATCC 19860']}"
29x"Acidovorax citrulli AAC00-1"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax citrulli', 'Acidovorax citrulli AAC00-1']}"
30x"Acidovorax delafieldii 2AN"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax delafieldii', 'Acidovorax delafieldii 2AN']}"
31x"Acidovorax ebreus TPSY"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax ebreus', 'Acidovorax ebreus TPSY']}"
32x"Acidovorax sp. JS42"x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Betaproteobacteria', 'Burkholderiales', 'Comamonadaceae', 'Acidovorax', 'Acidovorax sp. JS42', 'Acidovorax sp. JS42']}"
33xAciduliprofundum boonei T469x"{'taxonomy': ['Archaea', 'Euryarchaeota', 'unclassified (derived from Euryarchaeota)', 'unclassified (derived from Euryarchaeota)', 'unclassified (derived from Euryarchaeota)', 'Aciduliprofundum', 'Aciduliprofundum boonei', 'Aciduliprofundum boonei T469']}"
34xAcinetobacter baumannii 6013113x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii 6013113']}"
35xAcinetobacter baumannii 6013150x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii 6013150']}"
36xAcinetobacter baumannii 6014059x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii 6014059']}"
37xAcinetobacter baumannii AB0057x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB0057']}"
38xAcinetobacter baumannii AB056x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB056']}"
39xAcinetobacter baumannii AB058x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB058']}"
40xAcinetobacter baumannii AB059x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB059']}"
41xAcinetobacter baumannii AB307-0294x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB307-0294']}"
42xAcinetobacter baumannii AB900x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AB900']}"
43xAcinetobacter baumannii ACICUx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii ACICU']}"
44xAcinetobacter baumannii ATCC 17978x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii ATCC 17978']}"
45xAcinetobacter baumannii ATCC 19606x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii ATCC 19606']}"
46xAcinetobacter baumannii AYEx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii AYE']}"
47xAcinetobacter baumannii SDFx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter baumannii', 'Acinetobacter baumannii SDF']}"
48xAcinetobacter calcoaceticus RUH2202x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter calcoaceticus', 'Acinetobacter calcoaceticus RUH2202']}"
49xAcinetobacter haemolyticus ATCC 19194x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter haemolyticus', 'Acinetobacter haemolyticus ATCC 19194']}"
50xAcinetobacter johnsonii SH046x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter johnsonii', 'Acinetobacter johnsonii SH046']}"
51xAcinetobacter junii SH205x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter junii', 'Acinetobacter junii SH205']}"
52xAcinetobacter lwoffii SH145x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter lwoffii', 'Acinetobacter lwoffii SH145']}"
53xAcinetobacter phage Ac42x"{'taxonomy': ['Viruses', 'unclassified (derived from Viruses)', 'unclassified (derived from Viruses)', 'Caudovirales', 'Myoviridae', 'T4-like viruses', 'Acinetobacter phage Ac42', 'Acinetobacter phage Ac42']}"
54xAcinetobacter radioresistens SH164x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter radioresistens', 'Acinetobacter radioresistens SH164']}"
55xAcinetobacter radioresistens SK82x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter radioresistens', 'Acinetobacter radioresistens SK82']}"
56xAcinetobacter sp. ADP1x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter sp. ADP1', 'Acinetobacter sp. ADP1']}"
57xAcinetobacter sp. ATCC 27244x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter sp. ATCC 27244', 'Acinetobacter sp. ATCC 27244']}"
58xAcinetobacter sp. DR1x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter oleivorans', 'Acinetobacter sp. DR1']}"
59xAcinetobacter sp. EB104x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter sp. EB104', 'Acinetobacter sp. EB104']}"
60xAcinetobacter sp. RUH2624x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter nosocomialis', 'Acinetobacter sp. RUH2624']}"
61xAcinetobacter sp. SH024x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter pittii', 'Acinetobacter sp. SH024']}"
62xAcinetobacter venetianusx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pseudomonadales', 'Moraxellaceae', 'Acinetobacter', 'Acinetobacter venetianus', 'Acinetobacter venetianus']}"
63xAcorus americanusx"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Liliopsida', 'Acorales', 'Acoraceae', 'Acorus', 'Acorus americanus', 'Acorus americanus']}"
64xAcorus calamusx"{'taxonomy': ['Eukaryota', 'Streptophyta', 'Liliopsida', 'Acorales', 'Acoraceae', 'Acorus', 'Acorus calamus', 'Acorus calamus']}"
65xAcrida cinereax"{'taxonomy': ['Eukaryota', 'Arthropoda', 'Insecta', 'Orthoptera', 'Acrididae', 'Acrida', 'Acrida cinerea', 'Acrida cinerea']}"
66xAcropora tenuisx"{'taxonomy': ['Eukaryota', 'Cnidaria', 'Anthozoa', 'Scleractinia', 'Acroporidae', 'Acropora', 'Acropora tenuis', 'Acropora tenuis']}"
67xActinobacillus minor 202x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus minor', 'Actinobacillus minor 202']}"
68xActinobacillus minor NM305x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus minor', 'Actinobacillus minor NM305']}"
69xActinobacillus pleuropneumoniaex"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae']}"
70xActinobacillus pleuropneumoniae serovar 1 str. 4074x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 1 str. 4074']}"
71xActinobacillus pleuropneumoniae serovar 10 str. D13039x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 10 str. D13039']}"
72xActinobacillus pleuropneumoniae serovar 11 str. 56153x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 11 str. 56153']}"
73xActinobacillus pleuropneumoniae serovar 12 str. 1096x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 12 str. 1096']}"
74xActinobacillus pleuropneumoniae serovar 13 str. N273x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 13 str. N273']}"
75xActinobacillus pleuropneumoniae serovar 2 str. 4226x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 2 str. 4226']}"
76xActinobacillus pleuropneumoniae serovar 2 str. S1536x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 2 str. S1536']}"
77xActinobacillus pleuropneumoniae serovar 3 str. JL03x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 3 str. JL03']}"
78xActinobacillus pleuropneumoniae serovar 4 str. M62x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 4 str. M62']}"
79xActinobacillus pleuropneumoniae serovar 5b str. L20x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 5b str. L20']}"
80xActinobacillus pleuropneumoniae serovar 6 str. Femox"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 6 str. Femo']}"
81xActinobacillus pleuropneumoniae serovar 7 str. AP76x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 7 str. AP76']}"
82xActinobacillus pleuropneumoniae serovar 9 str. CVJ13261x"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus pleuropneumoniae', 'Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261']}"
83xActinobacillus succinogenes 130Zx"{'taxonomy': ['Bacteria', 'Proteobacteria', 'Gammaproteobacteria', 'Pasteurellales', 'Pasteurellaceae', 'Actinobacillus', 'Actinobacillus succinogenes', 'Actinobacillus succinogenes 130Z']}"
