"","metagenomeID","sampleType","speciesRichness","mgrastID","sampleID","Event_name","siteID","plotID"
"1","CPER.001.NE.Mineral.25.38.20130701.join","Individual",2468,4664901.3,"CPER_001-M-25-38-20130701","CPER_001-M-20130701","CPER","CPER_001"
"8","CPER_001.XX.Mineral.xx_xx.20130701.join","Composite",2510,4637812.3,"CPER_001-M-20130701-C","CPER_001-M-20130701","CPER","CPER_001"
"2","CPER.001.NE.Mineral.38.38.20131024.join","Individual",2672,4664858.3,"CPER_001-M-38-38-20131024","CPER_001-M-20131024","CPER","CPER_001"
"9","CPER_001.XX.Mineral.xx_xx.20131024.join","Composite",2603,4637813.3,"CPER_001-M-20131024-C","CPER_001-M-20131024","CPER","CPER_001"
"7","CPER_001.SE.Mineral.20_7.20140116.join","Individual",2538,4637811.3,"CPER_001-M-20-7-20140116","CPER_001-M-20140116","CPER","CPER_001"
"10","CPER_001.XX.Mineral.xx_xx.20140116.join","Composite",2577,4637814.3,"CPER_001-M-20140116-C","CPER_001-M-20140116","CPER","CPER_001"
"3","CPER.002.SE.Mineral.36.5.20130701.join","Individual",2456,4664891.3,"CPER_002-M-36-5-20130701","CPER_002-M-20130701","CPER","CPER_002"
"12","CPER_002.XX.Mineral.xx_xx.20130701.join","Composite",2523,4637817.3,"CPER_002-M-20130701-C","CPER_002-M-20130701","CPER","CPER_002"
"4","CPER.002.SE.Mineral.38.8.20131024.join","Individual",2488,4664866.3,"CPER_002-M-38-8-20131024","CPER_002-M-20131024","CPER","CPER_002"
"13","CPER_002.XX.Mineral.xx_xx.20131024.join","Composite",2517,4637818.3,"CPER_002-M-20131024-C","CPER_002-M-20131024","CPER","CPER_002"
"11","CPER_002.NW.Mineral.14_37.20140117.join","Individual",2604,4637816.3,"CPER_002-M-14-37-20140117","CPER_002-M-20140117","CPER","CPER_002"
"14","CPER_002.XX.Mineral.xx_xx.20140117.join","Composite",2619,4637819.3,"CPER_002-M-20140117-C","CPER_002-M-20140117","CPER","CPER_002"
"5","CPER.003.SW.Mineral.3.10.20130701.join","Individual",2459,4664889.3,"CPER_003-M-3-10-20130701","CPER_003-M-20130701","CPER","CPER_003"
"17","CPER_003.XX.Mineral.xx_xx.20130701.join","Composite",2496,4637823.3,"CPER_003-M-20130701-C","CPER_003-M-20130701","CPER","CPER_003"
"16","CPER_003.NW.Mineral.7_21.20140116.join","Individual",2468,4637822.3,"CPER_003-M-7-21-20140116","CPER_003-M-20140116","CPER","CPER_003"
"18","CPER_003.XX.Mineral.xx_xx.20140116.join","Composite",2806,4637824.3,"CPER_003-M-20140116-C","CPER_003-M-20140116","CPER","CPER_003"
"15","CPER_003.23.Mineral.35_15.20140415.join","Individual",2505,4637821.3,"CPER_003-M-35-15-20140415","CPER_003-M-20140415","CPER","CPER_003"
"19","CPER_003.xx.Mineral.xx_xx.20140415.join","Composite",2557,4637825.3,"CPER_003-M-20140415-C","CPER_003-M-20140415","CPER","CPER_003"
"6","CPER.004.NW.Mineral.5.35.20130701.join","Individual",2330,4664890.3,"CPER_004-M-5-35-20130701","CPER_004-M-20130701","CPER","CPER_004"
"21","CPER_004.XX.Mineral.xx_xx.20130701.join","Composite",2537,4637828.3,"CPER_004-M-20130701-C","CPER_004-M-20130701","CPER","CPER_004"
