metagenomeID	name	sequences	biome	feature	material	sequencing&nbsp;type			project
4637809.3	BART_004_41.27_36.Organic.20140619.join	8200978	terrestrial biome	soil	surface soil	WGS			NEON
4637810.3	CPER_001.21.Mineral.xx_xx.20140715.join	5144889	Temperate grasslands	plain	surface soil	WGS			NEON
4637811.3	CPER_001.SE.Mineral.20_7.20140116.join	11400845	Temperate grasslands	plain	surface soil	WGS			NEON
4637812.3	CPER_001.XX.Mineral.xx_xx.20130701.join	9485684	Temperate grasslands	plain	surface soil	WGS			NEON
4637813.3	CPER_001.XX.Mineral.xx_xx.20131024.join	9732620	Temperate grasslands	plain	surface soil	WGS			NEON
4637814.3	CPER_001.XX.Mineral.xx_xx.20140116.join	9134355	Temperate grasslands	plain	surface soil	WGS			NEON
4637815.3	CPER_001.xx.Mineral.xx_xx.20140415.join	6614956	Temperate grasslands	plain	surface soil	WGS			NEON
4637816.3	CPER_002.NW.Mineral.14_37.20140117.join	12636609	Temperate grasslands	plain	surface soil	WGS			NEON
4637817.3	CPER_002.XX.Mineral.xx_xx.20130701.join	12908855	Temperate grasslands	plain	surface soil	WGS			NEON
4637818.3	CPER_002.XX.Mineral.xx_xx.20131024.join	9029258	Temperate grasslands	plain	surface soil	WGS			NEON
4637819.3	CPER_002.XX.Mineral.xx_xx.20140117.join	14538906	Temperate grasslands	plain	surface soil	WGS			NEON
4637820.3	CPER_002.xx.Mineral.xx_xx.20140415.join	7773253	Temperate grasslands	plain	surface soil	WGS			NEON
4637821.3	CPER_003.23.Mineral.35_15.20140415.join	11093691	Temperate grasslands	plain	surface soil	WGS			NEON
4637822.3	CPER_003.NW.Mineral.7_21.20140116.join	9995738	Temperate grasslands	plain	surface soil	WGS			NEON
4637823.3	CPER_003.XX.Mineral.xx_xx.20130701.join	11129555	Temperate grasslands	plain	surface soil	WGS			NEON
4637824.3	CPER_003.XX.Mineral.xx_xx.20140116.join	25469127	Temperate grasslands	plain	surface soil	WGS			NEON
4637825.3	CPER_003.xx.Mineral.xx_xx.20140415.join	11627943	Temperate grasslands	plain	surface soil	WGS			NEON
4637826.3	CPER_003.xx.Mineral.xx_xx.20140716.join	5666108	Temperate grasslands	plain	surface soil	WGS			NEON
4637827.3	CPER_004.SW.Mineral.10_5.20140117.join	10361652	Temperate grasslands	plain	surface soil	WGS			NEON
4637828.3	CPER_004.XX.Mineral.xx_xx.20130701.join	10863575	Temperate grasslands	plain	surface soil	WGS			NEON
4637829.3	CPER_004.XX.Mineral.xx_xx.20140117.join	12965916	Temperate grasslands	plain	surface soil	WGS			NEON
4637830.3	CPER_004.xx.Mineral.xx_xx.20140415.join	4239319	Temperate grasslands	plain	surface soil	WGS			NEON
4637831.3	CPER_004.xx.Mineral.xx_xx.20140715.join	5712287	Temperate grasslands	plain	surface soil	WGS			NEON
4637832.3	CPER_046.23.Mineral.31_3.20140416.join	9217347	Temperate grasslands	plain	surface soil	WGS			NEON
4637833.3	CPER_046.xx.Mineral.xx_xx.20140716.join	8236190	Temperate grasslands	plain	surface soil	WGS			NEON
4637834.3	DSNY_009.21.M.4.7.20140910.join	10439886	terrestrial biome	soil	surface soil	WGS			NEON
4637835.3	DSNY_009.23.M.33.14.20140409.join	13638051	terrestrial biome	soil	surface soil	WGS			NEON
4637836.3	DSNY_009.23.M.37.16.20140327.join	9169891	terrestrial biome	soil	surface soil	WGS			NEON
4637837.3	DSNY_009.xx.M.xx.xx.20140327.join	21170420	terrestrial biome	soil	surface soil	WGS			NEON
4637838.3	DSNY_009.xx.M.xx.xx.20140409.join	5060273	terrestrial biome	soil	surface soil	WGS			NEON
4637839.3	DSNY_009.xx.M.xx.xx.20140910.join	11215307	terrestrial biome	soil	surface soil	WGS			NEON
4637840.3	DSNY_016.23.M.23.38.20140910.join	8825422	terrestrial biome	soil	surface soil	WGS			NEON
4637841.3	DSNY_016.23.M.35.17.20140327.join	7111116	terrestrial biome	soil	surface soil	WGS			NEON
4637842.3	DSNY_016.23.M.37.14.20140410.join	11862523	terrestrial biome	soil	surface soil	WGS			NEON
4637843.3	DSNY_016.xx.M.xx.xx.20140327.join	13581707	terrestrial biome	soil	surface soil	WGS			NEON
4637844.3	DSNY_016.xx.M.xx.xx.20140410.join	6119006	terrestrial biome	soil	surface soil	WGS			NEON
4637845.3	DSNY_016.xx.M.xx.xx.20140910.join	12866252	terrestrial biome	soil	surface soil	WGS			NEON
4637846.3	DSNY_021.xx.M.xx.xx.20140327.join	8793305	terrestrial biome	soil	surface soil	WGS			NEON
4637847.3	DSNY_025.xx.M.xx.xx.20140327.join	9723847	terrestrial biome	soil	surface soil	WGS			NEON
4637848.3	DSNY_101.xx.M.xx.xx.20130731.join	13873047	terrestrial biome	soil	surface soil	WGS			NEON
4637849.3	DSNY_201.xx.M.xx.xx.20130731.join	9325510	terrestrial biome	soil	surface soil	WGS			NEON
4637850.3	JERC_001.xx.M.xx.xx.20140910.join	5708785	terrestrial biome	soil	surface soil	WGS			NEON
4637851.3	JERC_002.xx.M.xx.xx.20140910.join	8574325	terrestrial biome	soil	surface soil	WGS			NEON
4637852.3	JERC_006.xx.M.xx.xx.20140910.join	6615248	terrestrial biome	soil	surface soil	WGS			NEON
4637853.3	OSBS_047.xx.M.xx.xx.20140314.join	4467244	terrestrial biome	soil	surface soil	WGS			NEON
4637854.3	OSBS_087.21.M.8.19.20131112.join	8731905	terrestrial biome	soil	surface soil	WGS			NEON
4637855.3	OSBS_087.xx.M.xx.xx.20131112.join	8526160	terrestrial biome	soil	surface soil	WGS			NEON
4637856.3	OSBS_119.xx.M.xx.xx.20140314.join	9148445	terrestrial biome	soil	surface soil	WGS			NEON
4637857.3	STER_001.SE.Mineral.22_2.20130627.join	9737924	Temperate grasslands	farm	surface soil	WGS			NEON
4637858.3	STER_001.XX.Mineral.xx_xx.20130627.join	12831560	Temperate grasslands	farm	surface soil	WGS			NEON
4637859.3	STER_003.NE.Mineral.38_30_20131217.join	8974732	Temperate grasslands	farm	surface soil	WGS			NEON
4637860.3	STER_003.SE.Mineral.38_5.20130627.join	10557996	Temperate grasslands	farm	surface soil	WGS			NEON
4637861.3	STER_003.XX.Mineral.xx_xx.20130627.join	14931157	Temperate grasslands	farm	surface soil	WGS			NEON
4637862.3	STER_003.XX.Mineral.xx_xx_20131217.join	10648364	Temperate grasslands	farm	surface soil	WGS			NEON
4637863.3	STER_004.NW.Mineral.7_21_20131217.join	6903509	Temperate grasslands	farm	surface soil	WGS			NEON
4637864.3	STER_004.SW.Mineral.3_10.20130627.join	11516511	Temperate grasslands	farm	surface soil	WGS			NEON
4637865.3	STER_004.XX.Mineral.xx_xx.20130627.join	12969937	Temperate grasslands	farm	surface soil	WGS			NEON
4637866.3	STER_004.XX.Mineral.xx_xx_20131217.join	10785430	Temperate grasslands	farm	surface soil	WGS			NEON
4637867.3	STER_005.NW.Mineral.5_35.20130627.join	9541812	Temperate grasslands	farm	surface soil	WGS			NEON
4637868.3	STER_005.XX.Mineral.xx_xx.20130627.join	12396345	Temperate grasslands	farm	surface soil	WGS			NEON
4664850.3	OSBS.119.21.M.19.1.20131112.join	13815534	terrestrial biome	soil	surface soil	WGS			NEON
4664851.3	SCBI.003.xx.M.xx.x.20140915.join	10125449	terrestrial biome	soil	surface soil	WGS			NEON
4664852.3	OSBS.048.xx.M.xx.x.20130726.join	9215278	terrestrial biome	soil	surface soil	WGS			NEON
4664853.3	HARV.001.xx.xx.Organic.x.x.20131122.join	4450074	terrestrial biome	soil	surface soil	WGS			NEON
4664854.3	HARV.013.39.Mineral.7.22.20130708.join	2189344	terrestrial biome	soil	surface soil	WGS			NEON
4664855.3	WOOD.002.xx.M.xx.x.20140925.join	11909425	Temperate grasslands	soil	surface soil	WGS			NEON
4664856.3	OSBS.119.xx.M.xx.x.20130726.join	5897609	terrestrial biome	soil	surface soil	WGS			NEON
4664857.3	OSBS.087.39.M.1.21.20130726.join	17803668	terrestrial biome	soil	surface soil	WGS			NEON
4664858.3	CPER.001.NE.Mineral.38.38.20131024.join	12870922	Temperate grasslands	plain	surface soil	WGS			NEON
4664859.3	WOOD.002.xx.M.xx.x.20140702.join	3837047	Temperate grasslands	soil	surface soil	WGS			NEON
4664860.3	TALL.001.xx.M.xx.x.20140708.join	7189172	terrestrial biome	soil	surface soil	WGS			NEON
