"","x"
"1","CPER.001.NE.Mineral.25.38.20130701.join"
"2","CPER.001.NE.Mineral.38.38.20131024.join"
"3","CPER.002.SE.Mineral.36.5.20130701.join"
"4","CPER.002.SE.Mineral.38.8.20131024.join"
"5","CPER.003.SW.Mineral.3.10.20130701.join"
"6","CPER.004.NW.Mineral.5.35.20130701.join"
"7","CPER_001.SE.Mineral.20_7.20140116.join"
"8","CPER_002.NW.Mineral.14_37.20140117.join"
"9","CPER_003.23.Mineral.35_15.20140415.join"
"10","CPER_003.NW.Mineral.7_21.20140116.join"
"11","CPER_004.SW.Mineral.10_5.20140117.join"
"12","DSNY.101.23.M.35.7.20131114.join"
"13","DSNY.101.39.M.9.26.20130731.join"
"14","DSNY.201.23.M.24.9.20131114.join"
"15","DSNY.201.39.M.6.30.20130731.join"
"16","DSNY.265.39.M.1.21.20130731.join"
"17","DSNY.293.39.M.16.35.20130731.join"
"18","DSNY_009.21.M.4.7.20140910.join"
"19","DSNY_009.23.M.33.14.20140409.join"
"20","DSNY_009.23.M.37.16.20140327.join"
"21","DSNY_016.23.M.23.38.20140910.join"
"22","DSNY_016.23.M.35.17.20140327.join"
"23","DSNY_016.23.M.37.14.20140410.join"
"24","HARV.001.05.04.Mineral.13.7.20131122.join"
"25","HARV.001.50.Mineral.25.38.20130709.join"
"26","HARV.004.51.Mineral.34.37.20130709.join"
"27","OSBS.047.23.M.30.7.20131112.join"
"28","OSBS.047.39.M.9.26.20130726.join"
"29","OSBS.048.39.M.9.22.20130726.join"
"30","OSBS.119.21.M.19.1.20131112.join"
"31","OSBS.119.39.M.5.35.20130726.join"
"32","OSBS_087.21.M.8.19.20131112.join"
"33","STER_001.SE.Mineral.22_2.20130627.join"
"34","STER_003.NE.Mineral.38_30_20131217.join"
"35","STER_003.SE.Mineral.38_5.20130627.join"
"36","STER_004.NW.Mineral.7_21_20131217.join"
"37","STER_004.SW.Mineral.3_10.20130627.join"
"38","STER_005.NW.Mineral.5_35.20130627.join"
"39","TALL.004.21.M.24.15.20140708.join"
