project,domainID,siteID,plotID,subplotID,trapID,clipCellNumber,trapType,neonDate,addDate,measuredBy,recordedBy,samplingProtocolVersion,targetTaxaPresent
D02,D02,BLAN,BLAN_032,31,BLAN_032_178,178,Elevated,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_032,31,BLAN_032_103,103,Ground,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_035,31,BLAN_035_195,195,Elevated,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_035,31,BLAN_035_138,138,Ground,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_036,31,BLAN_036_137,137,Elevated,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_036,31,BLAN_036_152,152,Ground,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_041,31,BLAN_041_164,164,Elevated,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_041,31,BLAN_041_151,151,Ground,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_044,31,BLAN_044_189,189,Elevated,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
D02,D02,BLAN,BLAN_044,31,BLAN_044_169,169,Ground,20160322,2016-03-22,dsoteropoulous@neoninc.org,dsoteropoulous@neoninc.org,NEON.DOC.001710vE,yes
