measuredBy,recordedBy,neonDate,setDate,samplingProtocolVersion,domainID,project,siteID,plotID,subplotID,trapID,clipCellNumber,trapType,targetTaxaPresent,atagID,btagID,ctagID,dtagID,etagID,remarks
aalvarado@neoninc.org,adavila@neoninc.org,20150407,2015-04-07,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_043,39,GUAN_043_562,562,Elevated,yes,,,,,,
aalvarado@neoninc.org,adavila@neoninc.org,20150407,2015-04-07,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_043,41,GUAN_043_791,791,Ground,yes,,,,,,
aalvarado@neoninc.org,adavila@neoninc.org,20150407,2015-04-07,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_044,23,GUAN_044_385,385,Elevated,yes,,,,,,
aalvarado@neoninc.org,adavila@neoninc.org,20150407,2015-04-07,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_044,39,GUAN_044_646,646,Ground,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_043,41,GUAN_043_866,866,Elevated,yes,,,,,,Moved 1m N
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_052,23,GUAN_052_280,280,Elevated,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_052,23,GUAN_052_321,321,Ground,yes,,,,,,This Groundtrap was moved on 20150605 to GUAN_052_313
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_052,39,GUAN_052_706,706,Elevated,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_052,39,GUAN_052_698,698,Ground,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_054,39,GUAN_054_559,559,Elevated,yes,,,,,,Moved 1m N
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_054,39,GUAN_054_506,506,Ground,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_054,41,GUAN_054_880,880,Elevated,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_054,41,GUAN_054_823,823,Ground,yes,,,,,,
jaceituno@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_060,21,GUAN_060_151,151,Elevated,yes,,,,,,
jaceituno@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_060,21,GUAN_060_161,161,Ground,yes,,,,,,
jaceituno@field-ops.org,adavila@neoninc.org,20150408,2015-04-08,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_060,39,GUAN_060_673,673,Elevated,yes,,,,,,
jaceituno@field-ops.org,adavila@neoninc.org,20150817,2015-08-17,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_050,41,GUAN_050_850,850,Elevated,yes,,,,,,
adavila@neoninc.org,lrivera@field-ops.org,20150605,2015-06-05,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_052,23,GUAN_052_313,313,Ground,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150413,2015-04-13,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_058,21,GUAN_058_054,054,Elevated,yes,,,,,,Moved 1m S
lrivera@field-ops.org,adavila@neoninc.org,20150413,2015-04-13,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_058,21,GUAN_058_178,178,Ground,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150413,2015-04-13,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_058,39,GUAN_058_694,694,Elevated,yes,,,,,,
lrivera@field-ops.org,adavila@neoninc.org,20150413,2015-04-13,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_058,39,GUAN_058_603,603,Ground,yes,,,,,,
adavila@neoninc.org,adavila@neoninc.org,20150421,2015-04-21,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_053,23,GUAN_053_405,405,Elevated,yes,,,,,,Elevated moved 0.20m S. No Ground trap deployed. Area was rocky.
adavila@neoninc.org,adavila@neoninc.org,20150421,2015-04-21,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_053,39,GUAN_053_652,652,Elevated,yes,,,,,,
adavila@neoninc.org,adavila@neoninc.org,20150421,2015-04-21,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_053,39,GUAN_053_584,584,Ground,yes,,,,,,
adavila@neoninc.org,adavila@neoninc.org,20150421,2015-04-21,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_056,21,GUAN_056_062,062,Elevated,yes,,,,,,Moved 0.25m N
adavila@neoninc.org,adavila@neoninc.org,20150421,2015-04-21,NEON.DOC.001710vB,D04,D04,GUAN,GUAN_056,21,GUAN_056_138,138,Ground,yes,,,,,,
