Taxon	
mgm4664901.3	
ABC transporters	31522	
ATP synthases	7145	
Acid stress	1751	
Adhesion	1491	
Alanine, serine, and glycine	36480	
Aminosugars	7530	
Anaerobic degradation of aromatic compounds	10299	
Arginine; urea cycle, polyamines	41283	
Aromatic amino acids and derivatives	32274	
Bacterial cytostatics, differentiation factors and antibiotics	915	
Bacteriocins, ribosomally synthesized antibacterial peptides	430	
Biologically active compounds in metazoan cell defence and differentiation	3767	
Biosynthesis of galactoglycans and related lipopolysacharides	18547	
Biosynthesis of phenylpropanoids	696	
Biotin	20465	
Branched-chain amino acids	71792	
CO2 fixation	41405	
CRISPRs and associated hypotheticals	213	
CRISPs	413	
Capsular and extracellular polysacchrides	43586	
Carbohydrates	3356	
Carotenoid biosynthesis	1762	
Catabolism of an unknown compound	1454	
Cell Division	15504	
Cell wall of Mycobacteria	14615	
Central carbohydrate metabolism	144050	
Chemotaxis, response regulators	364	
Choline bitartrate degradation, putative	2622	
Chromosome Replication	1256	
Clustering-based subsystems	16983	
Coenzyme A	8298	
Coenzyme B	20	
Coenzyme F420	2329	
Coenzyme M	404	
Cold shock	986	
Cytochrome biogenesis	11916	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2158	
DNA metabolism	218	
DNA polymerase III epsilon cluster	2076	
DNA recombination	3713	
DNA repair	68654	
DNA replication	63078	
DNA uptake, competence	3351	
Dessication stress	9	
Detection	10950	
Detoxification	7234	
Di- and oligosaccharides	45620	
Electron accepting reactions	26545	
Electron donating reactions	55254	
Electron transport and photophosphorylation	37	
Fatty acid metabolic cluster	30226	
Fatty acids	57796	
Fermentation	38827	
Flagella protein?	620	
Flagellar motility in Prokaryota	17900	
Folate and pterines	117877	
Gene Transfer Agent (GTA)	604	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	34785	
Glycoside hydrolases	1457	
Gram-Negative cell wall components	25930	
Gram-Positive cell wall components	4920	
Heat shock	17381	
Histidine Metabolism	13480	
Hypothetical Related to Dihydroorate Dehydrogenase	649	
Hypothetical associated with RecF	624	
Hypothetical in Lysine biosynthetic cluster	2600	
