Taxon	
mgm4637822.3	
ABC transporters	36890	
ATP synthases	8193	
Acid stress	1994	
Adhesion	1661	
Alanine, serine, and glycine	41400	
Aminosugars	9342	
Anaerobic degradation of aromatic compounds	11669	
Arginine; urea cycle, polyamines	47121	
Aromatic amino acids and derivatives	35878	
Bacterial cytostatics, differentiation factors and antibiotics	1143	
Bacteriocins, ribosomally synthesized antibacterial peptides	439	
Biologically active compounds in metazoan cell defence and differentiation	4569	
Biosynthesis of galactoglycans and related lipopolysacharides	21439	
Biosynthesis of phenylpropanoids	966	
Biotin	23149	
Branched-chain amino acids	79588	
CO2 fixation	46530	
CRISPRs and associated hypotheticals	228	
CRISPs	465	
Capsular and extracellular polysacchrides	49389	
Carbohydrates	3723	
Carotenoid biosynthesis	1490	
Catabolism of an unknown compound	1934	
Cell Division	17429	
Cell wall of Mycobacteria	17274	
Central carbohydrate metabolism	160324	
Chemotaxis, response regulators	357	
Choline bitartrate degradation, putative	2846	
Chromosome Replication	1153	
Clustering-based subsystems	19770	
Coenzyme A	9313	
Coenzyme B	25	
Coenzyme F420	2842	
Coenzyme M	546	
Cold shock	1062	
Cytochrome biogenesis	13837	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2511	
DNA metabolism	192	
DNA polymerase III epsilon cluster	2314	
DNA recombination	4203	
DNA repair	76395	
DNA replication	69746	
DNA uptake, competence	3736	
Dessication stress	13	
Detection	12445	
Detoxification	7807	
Di- and oligosaccharides	51311	
Electron accepting reactions	28207	
Electron donating reactions	62518	
Electron transport and photophosphorylation	55	
Fatty acid metabolic cluster	34629	
Fatty acids	66052	
Fermentation	42593	
Flagella protein?	504	
Flagellar motility in Prokaryota	18322	
Folate and pterines	133251	
Gene Transfer Agent (GTA)	562	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	39181	
Glycoside hydrolases	1604	
Gram-Negative cell wall components	28166	
Gram-Positive cell wall components	5580	
Heat shock	19401	
Histidine Metabolism	15827	
Hypothetical Related to Dihydroorate Dehydrogenase	758	
Hypothetical associated with RecF	652	
Hypothetical in Lysine biosynthetic cluster	2894	
Hypothetical lipase related to Phosphatidate metabolism	1789	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	3713	
Inorganic sulfur assimilation	15733	
Invasion and intracellular resistance	350	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	8901	
Isoprenoids	26465	
Light-harvesting complexes	1	
Lipid-derived mediators	160	
Lipoic acid	2415	
Lysine Biosynthesis	627	
Lysine, threonine, methionine, and cysteine	100713	
Metabolism of central aromatic intermediates	22823	
Methylamine utilization	13132	
Molybdopterin oxidoreductase	3127	
Monosaccharides	65888	
NAD and NADP	17214	
Nucleotidyl-phosphate metabolic cluster	15796	
One-carbon Metabolism	80173	
Organic acids	37002	
Organic sulfur assimilation	14340	
Osmotic stress	14332	
Oxidative stress	38092	
Pathogenicity islands	10510	
Peripheral pathways for catabolism of aromatic compounds	39608	
Periplasmic Stress	2512	
Phages, Prophages	31076	
Phosphate metabolism	4730	
Phospholipids	25661	
Plant Alkaloids	671	
Plant Hormones	8541	
Plant Octadecanoids	10	
Plant-Prokaryote DOE project	273548	
Plasmid related functions	334	
Polysaccharides	17234	
Probably GTP or GMP signaling related	6877	
Probably Pyrimidine biosynthesis-related	1952	
Probably Ybbk-related hypothetical membrane proteins	1223	
Probably organic hydroperoxide resistance related hypothetical protein	829	
Programmed Cell Death and Toxin-antitoxin Systems	1767	
Proline and 4-hydroxyproline	13289	
Proteasome related clusters	62	
Protein and nucleoprotein secretion system, Type IV	5543	
Protein biosynthesis	152697	
Protein degradation	45934	
Protein export?	9534	
Protein folding	25380	
Protein processing and modification	41325	
Protein secretion system, Type I	602	
Protein secretion system, Type II	11595	
Protein secretion system, Type III	455	
Protein secretion system, Type V	117	
Protein secretion system, Type VI	9383	
Protein secretion system, Type VII (Chaperone/Usher pathway, CU)	58	
Protein secretion system, Type VIII (Extracellular nucleation/precipitation pathway, ENP)	872	
Protein translocation across cytoplasmic membrane	14917	
Proteolytic pathway	55	
Purines	53124	
Putative GGDEF domain protein related to agglutinin secretion	252	
Putative Isoquinoline 1-oxidoreductase subunit	5210	
Putative asociate of RNA polymerase sigma-54 factor rpoN	10667	
Putrescine/GABA utilization cluster-temporal,to add to SSs	3660	
Pyridoxine	15295	
Pyrimidines	40899	
Pyruvate kinase associated cluster	2935	
Quinone cofactors	14151	
Quorum sensing and biofilm formation	3032	
RNA processing and modification	87495	
Recombination related cluster	1301	
Regulation of virulence	9362	
Related to Menaquinone-cytochrome C reductase 	369	
Resistance to antibiotics and toxic compounds	67155	
Reverse electron transport	137	
Riboflavin, FMN, FAD	7210	
Ribosomal Protein L28P relates to a set of uncharacterized proteins	6307	
Ribosome-related cluster	6194	
Sarcosine oxidase	2039	
Selenoproteins	13911	
Shiga toxin cluster	3196	
Siderophores	4893	
Signal transduction in Eukaryotes	4	
Social motility and nonflagellar swimming in bacteria	75	
Sodium Ion-Coupled Energetics	464	
Spore DNA protection	2	
Sugar Phosphotransferase Systems, PTS	1515	
Sugar alcohols	22916	
Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	5929	
Tetrapyrroles	23485	
Three hypotheticals linked to lipoprotein biosynthesis	1410	
TldD cluster	3193	
Toxins and superantigens	380	
Transcription	40636	
Translation	5327	
Transposable elements	4687	
Triacylglycerols	436	
Tricarboxylate transporter	6768	
Two related proteases	5849	
Uni- Sym- and Antiporters	2783	
alpha-proteobacterial cluster of hypotheticals	887	
proteosome related	3971	
recX and regulatory cluster	1728	
tRNA sulfuration	2193	

