Taxon	
mgm4637860.3	
ABC transporters	39937	
ATP synthases	10190	
Acid stress	2408	
Adhesion	2092	
Alanine, serine, and glycine	48029	
Aminosugars	11036	
Anaerobic degradation of aromatic compounds	13439	
Arginine; urea cycle, polyamines	53459	
Aromatic amino acids and derivatives	42504	
Bacterial cytostatics, differentiation factors and antibiotics	1231	
Bacteriocins, ribosomally synthesized antibacterial peptides	467	
Biologically active compounds in metazoan cell defence and differentiation	4804	
Biosynthesis of galactoglycans and related lipopolysacharides	26246	
Biosynthesis of phenylpropanoids	1087	
Biotin	26216	
Branched-chain amino acids	93570	
CO2 fixation	52479	
CRISPRs and associated hypotheticals	220	
CRISPs	456	
Capsular and extracellular polysacchrides	58431	
Carbohydrates	4241	
Carotenoid biosynthesis	2033	
Catabolism of an unknown compound	1672	
Cell Division	20293	
Cell wall of Mycobacteria	19235	
Central carbohydrate metabolism	191118	
Chemotaxis, response regulators	488	
Choline bitartrate degradation, putative	3158	
Chromosome Replication	1844	
Clustering-based subsystems	22558	
Coenzyme A	11132	
Coenzyme B	26	
Coenzyme F420	2733	
Coenzyme M	671	
Cold shock	1331	
Cytochrome biogenesis	15403	
D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster	2739	
DNA metabolism	289	
DNA polymerase III epsilon cluster	2844	
DNA recombination	5185	
DNA repair	93218	
DNA replication	84882	
DNA uptake, competence	4469	
Dessication stress	12	
Detection	14548	
Detoxification	9553	
Di- and oligosaccharides	62519	
Electron accepting reactions	35272	
Electron donating reactions	73411	
Electron transport and photophosphorylation	66	
Fatty acid metabolic cluster	40000	
Fatty acids	75605	
Fermentation	51814	
Flagella protein?	787	
Flagellar motility in Prokaryota	24424	
Folate and pterines	154238	
Gene Transfer Agent (GTA)	498	
Glutamine, glutamate, aspartate, asparagine; ammonia assimilation	45857	
Glycoside hydrolases	2325	
Gram-Negative cell wall components	36045	
Gram-Positive cell wall components	6605	
Heat shock	22810	
Histidine Metabolism	18602	
Hypothetical Related to Dihydroorate Dehydrogenase	1070	
Hypothetical associated with RecF	814	
Hypothetical in Lysine biosynthetic cluster	3657	
Hypothetical lipase related to Phosphatidate metabolism	2072	
Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase	4638	
Inorganic sulfur assimilation	17553	
Invasion and intracellular resistance	374	
Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	10618	
Isoprenoids	31556	
Light-harvesting complexes	6	
Lipid-derived mediators	164	
Lipoic acid	2906	
Lysine Biosynthesis	884	
Lysine, threonine, methionine, and cysteine	121136	
Metabolism of central aromatic intermediates	26816	
Methylamine utilization	13914	
Molybdopterin oxidoreductase	4171	
Monosaccharides	78715	
NAD and NADP	20858	
Nucleotidyl-phosphate metabolic cluster	16814	
