# http://api.metagenomics.anl.gov/1/matrix/organism?id=mgm4664863.3&group_level=species&source=RefSeq&hit_type=single&result_type=abundance&evalue=1&identity=60&length=15&taxid=0
Taxon	Taxonomy	mgm4664863.3	
Taxon	Taxonomy	HARV.004.xx.Mineral.x.x.20130709.join	
Abiotrophia defectiva	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	100	
Acanthamoeba castellanii	Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Acanthamoeba;Acanthamoeba castellanii	2	
Acanthamoeba polyphaga mimivirus	Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Mimiviridae;Mimivirus;Acanthamoeba polyphaga mimivirus	20	
Acanthocystis turfacea Chlorella virus 1	Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Phycodnaviridae;Chlorovirus;Acanthocystis turfacea Chlorella virus 1	9	
Acaryochloris marina	Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Acaryochloris;Acaryochloris marina	2579	
Acaryochloris sp. CCMEE 5410	Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Acaryochloris;Acaryochloris sp. CCMEE 5410	7	
Acetivibrio cellulolyticus	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;Acetivibrio cellulolyticus	419	
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	1262	
Acetobacter pomorum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pomorum	1	
Acetobacter tropicalis	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter tropicalis	2	
Acetohalobium arabaticum	Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium;Acetohalobium arabaticum	578	
Acholeplasma laidlawii	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma laidlawii	118	
Achromobacter arsenitoxydans	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter arsenitoxydans	3	
Achromobacter denitrificans	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter denitrificans	17	
Achromobacter piechaudii	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter piechaudii	1835	
Achromobacter xylosoxidans	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans	2696	
Acidaminococcus fermentans	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus fermentans	420	
Acidaminococcus intestini	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus intestini	153	
Acidaminococcus sp. D21	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus sp. D21	78	
Acidilobus saccharovorans	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus saccharovorans	105	
Acidimicrobium ferrooxidans	Bacteria;Actinobacteria;Actinobacteria (class);Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans	2506	
Acidiphilium cryptum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium cryptum	4654	
Acidiphilium multivorum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium multivorum	1102	
Acidiphilium sp. PM	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium sp. PM	1871	
Acidithiobacillus caldus	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus caldus	824	
Acidithiobacillus ferrooxidans	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus ferrooxidans	1816	
Acidobacterium capsulatum	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum	30069	
Acidothermus cellulolyticus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus	7042	
Acidovorax avenae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax avenae	844	
Acidovorax citrulli	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax citrulli	2414	
Acidovorax delafieldii	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax delafieldii	998	
Acidovorax ebreus	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax ebreus	380	
Acidovorax sp. JS42	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax sp. JS42	2202	
Acidovorax sp. NO-1	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax sp. NO-1	3	
Aciduliprofundum boonei	Archaea;Euryarchaeota;unclassified (derived from Euryarchaeota);unclassified (derived from Euryarchaeota);unclassified (derived from Euryarchaeota);Aciduliprofundum;Aciduliprofundum boonei	339	
Acinetobacter baumannii	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	1090	
Acinetobacter calcoaceticus	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus	90	
Acinetobacter haemolyticus	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter haemolyticus	48	
Acinetobacter johnsonii	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter johnsonii	115	
Acinetobacter junii	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter junii	109	
Acinetobacter lwoffii	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter lwoffii	122	
Acinetobacter nosocomialis	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter nosocomialis	51	
Acinetobacter oleivorans	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter oleivorans	136	
Acinetobacter phage Ac42	Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);Caudovirales;Myoviridae;T4-like viruses;Acinetobacter phage Ac42	1	
Acinetobacter pittii	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter pittii	61	
Acinetobacter radioresistens	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter radioresistens	117	
Acinetobacter sp. ADP1	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. ADP1	610	
Acinetobacter sp. ATCC 27244	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. ATCC 27244	57	
Acinetobacter sp. EB104	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. EB104	2	
Acinetobacter sp. NBRC 100985	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. NBRC 100985	2	
Acinetobacter sp. P8-3-8	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter sp. P8-3-8	1	
Acinetobacter venetianus	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter venetianus	1	
Acropora tenuis	Eukaryota;Cnidaria;Anthozoa;Scleractinia;Acroporidae;Acropora;Acropora tenuis	1	
Actinobacillus minor	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus minor	71	
Actinobacillus pleuropneumoniae	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus pleuropneumoniae	332	
Actinobacillus succinogenes	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus succinogenes	262	
Actinobacillus ureae	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus;Actinobacillus ureae	24	
Actinomyces coleocanis	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces coleocanis	80	
Actinomyces odontolyticus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus	205	
Actinomyces oris	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces oris	10	
Actinomyces sp. oral taxon 171	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 171	176	
Actinomyces sp. oral taxon 175	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 175	4	
Actinomyces sp. oral taxon 178	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 178	142	
Actinomyces sp. oral taxon 180	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 180	90	
Actinomyces sp. oral taxon 848	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral taxon 848	174	
