"","abundanceM","abundanceC"
"CPER.001.NE.Mineral.25.38.20130701.join",1647,1672
"CPER.001.NE.Mineral.38.38.20131024.join",1669,1664
"CPER.002.SE.Mineral.36.5.20130701.join",1634,1649
"CPER.002.SE.Mineral.38.8.20131024.join",1659,1648
"CPER.003.SW.Mineral.3.10.20130701.join",1660,1646
"CPER.004.NW.Mineral.5.35.20130701.join",1626,1668
"CPER_001.SE.Mineral.20_7.20140116.join",1657,1659
"CPER_002.NW.Mineral.14_37.20140117.join",1651,1691
"CPER_003.23.Mineral.35_15.20140415.join",1656,1659
"CPER_003.NW.Mineral.7_21.20140116.join",1649,1661
"CPER_004.SW.Mineral.10_5.20140117.join",1650,1660
"DSNY.101.39.M.9.26.20130731.join",1648,1745
"DSNY.201.23.M.24.9.20131114.join",1629,1631
"DSNY.201.39.M.6.30.20130731.join",1655,1642
"DSNY.265.39.M.1.21.20130731.join",1638,1655
"DSNY.293.39.M.16.35.20130731.join",1647,1599
"DSNY_009.21.M.4.7.20140910.join",1644,1646
"DSNY_009.23.M.33.14.20140409.join",1644,1649
"DSNY_009.23.M.37.16.20140327.join",1618,1607
"DSNY_016.23.M.23.38.20140910.join",1646,1659
"DSNY_016.23.M.35.17.20140327.join",1622,1647
"DSNY_016.23.M.37.14.20140410.join",1652,1647
"HARV.001.05.04.Mineral.13.7.20131122.join",1641,1637
"HARV.001.50.Mineral.25.38.20130709.join",1654,1643
"HARV.004.51.Mineral.34.37.20130709.join",1644,1610
"OSBS.047.23.M.30.7.20131112.join",1638,1606
"OSBS.047.39.M.9.26.20130726.join",1654,1643
"OSBS.048.39.M.9.22.20130726.join",1671,1626
"OSBS.119.21.M.19.1.20131112.join",1643,1638
"OSBS_087.21.M.8.19.20131112.join",1627,1632
"STER_001.SE.Mineral.22_2.20130627.join",1655,1663
"STER_003.NE.Mineral.38_30_20131217.join",1640,1675
"STER_003.SE.Mineral.38_5.20130627.join",1651,1666
"STER_004.NW.Mineral.7_21_20131217.join",1638,1667
"STER_004.SW.Mineral.3_10.20130627.join",1660,1656
"STER_005.NW.Mineral.5_35.20130627.join",1639,1652
"TALL.004.21.M.24.15.20140708.join",1610,1647
