"","MGdiv","Cdiv"
"CPER.001.NE.Mineral.25.38.20130701.join",6.12113847232359,6.06844898398551
"CPER.001.NE.Mineral.38.38.20131024.join",6.18756010614127,6.09544942247061
"CPER.002.SE.Mineral.36.5.20130701.join",6.02999578661559,6.10248399125447
"CPER.002.SE.Mineral.38.8.20131024.join",5.98741549791972,5.9390987402538
"CPER.003.SW.Mineral.3.10.20130701.join",6.155671421913,5.96577598220662
"CPER.004.NW.Mineral.5.35.20130701.join",6.06028969083014,6.01046922932517
"CPER_001.SE.Mineral.20_7.20140116.join",6.08586741407532,6.04798040916622
"CPER_002.NW.Mineral.14_37.20140117.join",5.99665628857776,6.07272420002538
"CPER_003.23.Mineral.35_15.20140415.join",6.06703516875766,6.07730311241131
"CPER_003.NW.Mineral.7_21.20140116.join",6.07883813403355,6.03330872467444
"CPER_004.SW.Mineral.10_5.20140117.join",6.03297244007004,6.05636962784786
"DSNY.101.39.M.9.26.20130731.join",6.08651233169284,5.80865037516299
"DSNY.201.23.M.24.9.20131114.join",5.82433339149996,5.88258372429474
"DSNY.201.39.M.6.30.20130731.join",5.89631237752747,5.87816642327866
"DSNY.265.39.M.1.21.20130731.join",5.83373425425511,5.69377101193138
"DSNY.293.39.M.16.35.20130731.join",5.88485950403416,5.70003210231649
"DSNY_009.21.M.4.7.20140910.join",5.69287669851684,5.69990546713497
"DSNY_009.23.M.33.14.20140409.join",5.76017322644469,5.78458228016938
"DSNY_009.23.M.37.16.20140327.join",5.74954267757316,5.7795750392308
"DSNY_016.23.M.23.38.20140910.join",5.85630775767648,5.8246013761487
"DSNY_016.23.M.35.17.20140327.join",5.76033273603255,5.69801260511985
"DSNY_016.23.M.37.14.20140410.join",5.82222802658479,5.86820673291594
"HARV.001.05.04.Mineral.13.7.20131122.join",5.83018381134631,5.88384750985005
"HARV.001.50.Mineral.25.38.20130709.join",5.92744636428378,5.88994683218003
"HARV.004.51.Mineral.34.37.20130709.join",5.93286295615115,5.87708596888849
"OSBS.047.23.M.30.7.20131112.join",5.8467426187976,5.90452916100064
"OSBS.047.39.M.9.26.20130726.join",5.87495683156839,5.80555231834097
"OSBS.048.39.M.9.22.20130726.join",5.85817259372932,5.8533529433249
"OSBS.119.21.M.19.1.20131112.join",5.99090883443632,5.93902322933842
"OSBS_087.21.M.8.19.20131112.join",5.79844686080504,5.80214494337306
"STER_001.SE.Mineral.22_2.20130627.join",6.08100187520831,6.08668243115007
"STER_003.NE.Mineral.38_30_20131217.join",5.96361293748727,6.09431229109585
"STER_003.SE.Mineral.38_5.20130627.join",6.06525516868408,6.01081706445071
"STER_004.NW.Mineral.7_21_20131217.join",5.97444407496956,6.0833774113986
"STER_004.SW.Mineral.3_10.20130627.join",6.05517880560447,6.04234444037558
"STER_005.NW.Mineral.5_35.20130627.join",6.03383453025559,6.0927459372936
"TALL.004.21.M.24.15.20140708.join",5.79362466800226,5.86585460743923
