# http://api.metagenomics.anl.gov/1/matrix/function?id=mgm4664884.3&group_level=function&source=Subsystems&hit_type=single&result_type=abundance&evalue=1&identity=60&length=15&taxid=0
Taxon	Taxonomy	mgm4664884.3	
Taxon	Taxonomy	OSBS.119.xx.M.xx.x.20131112.join	
SS00001	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;BH2577 unknown conserved protein in B. subtilis	25	
SS00002	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	980	
SS00003	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein FtsL	3	
SS00004	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein MraZ	111	
SS00005	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 2B	1	
SS00006	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 2 (PBP-2)	357	
SS00008	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;rRNA small subunit methyltransferase H	513	
SS00009	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;rRNA small subunit methyltransferase I	430	
SS00010	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)	25	
SS00013	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Acyl coenzyme A dehydrogenase, BldA, contributes to the proper timing of aerial mycelium formation and antibiotic production	5	
SS00017	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;A-factor biosynthesis protein AfsA	4	
SS00032	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Pleiotropic negative regulator for morphological and physiological development in Streptomyces, BldD	12	
SS00033	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Putative methyltransferase,bldM, influences various aspects of colony growth and development	5	
SS00036	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	31	
SS00037	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate kinase (EC 2.7.1.13)	4	
SS00038	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate transporter	32	
SS00039	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate utilization repressor PtxS	1	
SS00042	Carbohydrates;Organic acids;2-methylcitrate_to_2-methylaconitate_metabolism_cluster;2-methylaconitate racemase	22	
SS00043	Carbohydrates;Organic acids;2-methylcitrate_to_2-methylaconitate_metabolism_cluster;2-Methylcitrate dehydratase AcnD	16	
SS00044	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;2-deoxyglucose-6-phosphate hydrolase YniC	23	
SS00046	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Phosphoglycolate phosphatase (EC 3.1.3.18)	178	
SS00047	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Putative phosphatase YfbT	72	
SS00048	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Putative phosphatase YieH	10	
