# http://api.metagenomics.anl.gov/1/matrix/function?id=mgm4664872.3&group_level=function&source=Subsystems&hit_type=single&result_type=abundance&evalue=1&identity=60&length=15&taxid=0
Taxon	Taxonomy	mgm4664872.3	
Taxon	Taxonomy	WOOD.003.xx.M.xx.x.20140702.join	
SS00001	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;BH2577 unknown conserved protein in B. subtilis	55	
SS00002	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	1826	
SS00003	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein FtsL	16	
SS00004	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein MraZ	182	
SS00005	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 2B	6	
SS00006	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 2 (PBP-2)	582	
SS00008	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;rRNA small subunit methyltransferase H	963	
SS00009	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;rRNA small subunit methyltransferase I	770	
SS00010	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)	59	
SS00013	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Acyl coenzyme A dehydrogenase, BldA, contributes to the proper timing of aerial mycelium formation and antibiotic production	5	
SS00032	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Pleiotropic negative regulator for morphological and physiological development in Streptomyces, BldD	34	
SS00033	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Putative methyltransferase,bldM, influences various aspects of colony growth and development	2	
SS00036	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	29	
SS00037	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate kinase (EC 2.7.1.13)	6	
SS00038	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate transporter	23	
SS00039	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate utilization repressor PtxS	7	
SS00040	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;Epimerase KguE	1	
SS00041	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;HTH-type transcriptional regulator PtxR	9	
SS00042	Carbohydrates;Organic acids;2-methylcitrate_to_2-methylaconitate_metabolism_cluster;2-methylaconitate racemase	57	
SS00043	Carbohydrates;Organic acids;2-methylcitrate_to_2-methylaconitate_metabolism_cluster;2-Methylcitrate dehydratase AcnD	80	
SS00044	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;2-deoxyglucose-6-phosphate hydrolase YniC	71	
SS00045	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Phosphoglycolate phosphatase, archaeal type (EC 3.1.3.18)	5	
SS00046	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Phosphoglycolate phosphatase (EC 3.1.3.18)	165	
SS00047	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Putative phosphatase YfbT	52	
SS00048	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Putative phosphatase YieH	63	
SS00049	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Putative phosphatase YqaB	12	
SS00050	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C	62	
SS00051	DNA Metabolism;DNA repair;2-phosphoglycolate_salvage;Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	44	
SS00052	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.-)	384	
SS00053	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-)	452	
SS00054	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)	99	
SS00055	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)	31	
SS00056	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.13.3)	700	
SS00058	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)	22	
SS00059	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;4-hydroxyphenylacetate symporter, major facilitator superfamily (MFS)	24	
SS00060	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)	237	
SS00061	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)	476	
SS00062	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)	441	
SS00063	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;Homoprotocatechuate degradative operon repressor	17	
SS00064	Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;4-Hydroxyphenylacetic_acid_catabolic_pathway;Transcriptional activator of 4-hydroxyphenylacetate 3-monooxygenase operon, XylS/AraC family	3	
SS00065	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)	1180	
SS00066	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;5-FCL-like protein	82	
SS00067	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	114	
SS00068	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;Alcohol dehydrogenase (EC 1.1.1.1)	3647	
SS00069	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;Alternative dihydrofolate reductase 2	56	
SS00070	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;Butyryl-CoA dehydrogenase (EC 1.3.99.2)	5074	
SS00071	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;Dihydrofolate reductase (EC 1.5.1.3)	1842	
SS00072	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	1545	
SS00073	Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein;Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1011	
