Subsystems.level3	mgm4637831.3
16S_rRNA_modification_within_P_site_of_ribosome;RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome	1
2-Ketogluconate_Utilization;Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization	1
2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens	1
5-FCL-like_protein;Cofactors, Vitamins, Prosthetic Groups, Pigments;Folate and pterines;5-FCL-like_protein	4379
ABC_transporter_of_unknown_substrate_X;Membrane Transport;ABC transporters;ABC_transporter_of_unknown_substrate_X	2
ATP-dependent_RNA_helicases,_bacterial;RNA Metabolism;RNA processing and modification;ATP-dependent_RNA_helicases,_bacterial	2
A_Gammaproteobacteria_Cluster_Relating_to_Translation;Clustering-based subsystems;Ribosome-related cluster;A_Gammaproteobacteria_Cluster_Relating_to_Translation	852
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins;Clustering-based subsystems;Ribosomal Protein L28P relates to a set of uncharacterized proteins;A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	2
Acetone_Butanol_Ethanol_Synthesis;Carbohydrates;Fermentation;Acetone_Butanol_Ethanol_Synthesis	65
Acetone_carboxylase;Carbohydrates;-;Acetone_carboxylase	10
Acetophenone_carboxylase_1;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Acetophenone_carboxylase_1	35
Acetyl-CoA_fermentation_to_Butyrate;Carbohydrates;Fermentation;Acetyl-CoA_fermentation_to_Butyrate	45
Acyl-CoA_thioesterase_II;Fatty Acids, Lipids, and Isoprenoids;Fatty acids;Acyl-CoA_thioesterase_II	7
Agrobacterium_opine_transport;Membrane Transport;-;Agrobacterium_opine_transport	1
Alginate_metabolism;Cell Wall and Capsule;Capsular and extracellular polysacchrides;Alginate_metabolism	4
Alkylphosphonate_utilization;Phosphorus Metabolism;-;Alkylphosphonate_utilization	74
Allantoin_Utilization;Nitrogen Metabolism;-;Allantoin_Utilization	203
Ammonia_assimilation;Nitrogen Metabolism;-;Ammonia_assimilation	5348
Anaerobic_Oxidative_Degradation_of_L-Ornithine;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Anaerobic_Oxidative_Degradation_of_L-Ornithine	4
Anaerobic_respiratory_reductases;Respiration;Electron accepting reactions;Anaerobic_respiratory_reductases	52
Anaerobic_toluene_and_ethylbenzene_degradation;Metabolism of Aromatic Compounds;Anaerobic degradation of aromatic compounds;Anaerobic_toluene_and_ethylbenzene_degradation	35
Archaeal_lipids;Fatty Acids, Lipids, and Isoprenoids;Isoprenoids;Archaeal_lipids	1
Arginine_and_Ornithine_Degradation;Amino Acids and Derivatives;Arginine; urea cycle, polyamines;Arginine_and_Ornithine_Degradation	246
Arsenic_resistance;Virulence, Disease and Defense;Resistance to antibiotics and toxic compounds;Arsenic_resistance	49
At1g26220_At1g32070;Miscellaneous;Plant-Prokaryote DOE project;At1g26220_At1g32070	1
At1g33290_At1g73170_At3g10420;Miscellaneous;Plant-Prokaryote DOE project;At1g33290_At1g73170_At3g10420	2
At1g54520;Miscellaneous;Plant-Prokaryote DOE project;At1g54520	1
At1g69340_At2g40600;Miscellaneous;Plant-Prokaryote DOE project;At1g69340_At2g40600	1
At2g23840;Miscellaneous;Plant-Prokaryote DOE project;At2g23840	852
At5g37530;Miscellaneous;Plant-Prokaryote DOE project;At5g37530	1
At5g38900;Miscellaneous;Plant-Prokaryote DOE project;At5g38900	8
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon);Regulation and Cell signaling;Quorum sensing and biofilm formation;Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	12
Auxin_biosynthesis;Secondary Metabolism;Plant Hormones;Auxin_biosynthesis	1202
Auxin_degradation;Secondary Metabolism;Plant Hormones;Auxin_degradation	1018
Bacitracin_Stress_Response;Virulence, Disease and Defense;Bacteriocins, ribosomally synthesized antibacterial peptides;Bacitracin_Stress_Response	1
Bacterial_Cell_Division;Clustering-based subsystems;-;Bacterial_Cell_Division	3333
Bacterial_cyanide_production_and_tolerance_mechanisms;Virulence, Disease and Defense;-;Bacterial_cyanide_production_and_tolerance_mechanisms	362
Benzoate_degradation;Metabolism of Aromatic Compounds;Peripheral pathways for catabolism of aromatic compounds;Benzoate_degradation	20
Benzoate_transport_and_degradation_cluster;Metabolism of Aromatic Compounds;-;Benzoate_transport_and_degradation_cluster	406
Beta-lactamase_cluster_in_Streptococcus;Clustering-based subsystems;Carbohydrates;Beta-lactamase_cluster_in_Streptococcus	55
Betaine_biosynthesis_from_glycine;Stress Response;Osmotic stress;Betaine_biosynthesis_from_glycine	1
Bilin_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Bilin_Biosynthesis	1
Biofilm_formation_in_Staphylococcus;Regulation and Cell signaling;Quorum sensing and biofilm formation;Biofilm_formation_in_Staphylococcus	1
Biogenesis_of_c-type_cytochromes;Respiration;-;Biogenesis_of_c-type_cytochromes	1
Branched-Chain_Amino_Acid_Biosynthesis;Amino Acids and Derivatives;Branched-chain amino acids;Branched-Chain_Amino_Acid_Biosynthesis	901
Branched_chain_amino_acid_degradation_regulons;Amino Acids and Derivatives;Branched-chain amino acids;Branched_chain_amino_acid_degradation_regulons	2189
Butanol_Biosynthesis;Carbohydrates;Fermentation;Butanol_Biosynthesis	55
CBSS-176280.1.peg.1561;Clustering-based subsystems;-;CBSS-176280.1.peg.1561	1
CBSS-176299.4.peg.1292;Clustering-based subsystems;Probably GTP or GMP signaling related;CBSS-176299.4.peg.1292	18
CBSS-176299.4.peg.1996A;Clustering-based subsystems;-;CBSS-176299.4.peg.1996A	104
CBSS-176299.4.peg.1996B;Clustering-based subsystems;-;CBSS-176299.4.peg.1996B	1320
CBSS-196164.1.peg.1690;Clustering-based subsystems;Cytochrome biogenesis;CBSS-196164.1.peg.1690	1329
CBSS-216592.1.peg.3534;Clustering-based subsystems;CRISPRs and associated hypotheticals;CBSS-216592.1.peg.3534	2
CBSS-222523.1.peg.1311;Clustering-based subsystems;Nucleotidyl-phosphate metabolic cluster;CBSS-222523.1.peg.1311	1
CBSS-235.1.peg.567;Clustering-based subsystems;-;CBSS-235.1.peg.567	1
CBSS-257314.1.peg.488;Clustering-based subsystems;Hypothetical protein possible functionally linked with Alanyl-tRNA synthetase;CBSS-257314.1.peg.488	1
CBSS-257314.1.peg.676;Clustering-based subsystems;Two related proteases;CBSS-257314.1.peg.676	1146
CBSS-288000.5.peg.1793;Clustering-based subsystems;Pyruvate kinase associated cluster;CBSS-288000.5.peg.1793	40
CBSS-316057.3.peg.1308;Clustering-based subsystems;Putative asociate of RNA polymerase sigma-54 factor rpoN;CBSS-316057.3.peg.1308	1
CBSS-316273.3.peg.2378;Clustering-based subsystems;-;CBSS-316273.3.peg.2378	23
CBSS-393121.3.peg.2760;Clustering-based subsystems;Protein export?;CBSS-393121.3.peg.2760	771
CBSS-393130.3.peg.129;Clustering-based subsystems;Related to Menaquinone-cytochrome C reductase ;CBSS-393130.3.peg.129	198
CBSS-52598.3.peg.2843;Clustering-based subsystems;alpha-proteobacterial cluster of hypotheticals;CBSS-52598.3.peg.2843	134
CBSS-56780.10.peg.1536;Clustering-based subsystems;-;CBSS-56780.10.peg.1536	126
CBSS-83331.1.peg.3039;Clustering-based subsystems;Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE;CBSS-83331.1.peg.3039	1
CBSS-83332.1.peg.3803;Clustering-based subsystems;-;CBSS-83332.1.peg.3803	1359
CO2_uptake,_carboxysome;Carbohydrates;CO2 fixation;CO2_uptake,_carboxysome	79
COG0523;Miscellaneous;Plant-Prokaryote DOE project;COG0523	7
COG1836;Miscellaneous;Plant-Prokaryote DOE project;COG1836	5
COG2363;Miscellaneous;Plant-Prokaryote DOE project;COG2363	960
CRISPRs;DNA Metabolism;CRISPs;CRISPRs	2
CTP_synthase_(EC_6.3.4.2)_cluster;Clustering-based subsystems;-;CTP_synthase_(EC_6.3.4.2)_cluster	1600
Calvin-Benson_cycle;Carbohydrates;CO2 fixation;Calvin-Benson_cycle	228
Carbon_monoxide_induced_hydrogenase;Respiration;-;Carbon_monoxide_induced_hydrogenase	6
Carboxysome;Carbohydrates;CO2 fixation;Carboxysome	77
Catechol_branch_of_beta-ketoadipate_pathway;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Catechol_branch_of_beta-ketoadipate_pathway	305
Cell_division-ribosomal_stress_proteins_cluster;Clustering-based subsystems;-;Cell_division-ribosomal_stress_proteins_cluster	4805
Central_meta-cleavage_pathway_of_aromatic_compound_degradation;Metabolism of Aromatic Compounds;Metabolism of central aromatic intermediates;Central_meta-cleavage_pathway_of_aromatic_compound_degradation	1
Chlorophyll_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Chlorophyll_Biosynthesis	21
Choline_Transport;Membrane Transport;-;Choline_Transport	10
Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate:_Intermediate_for_synthesis_of_Tryptophan,_PAPA_antibiotics,_PABA,_3-hydroxyanthranilate_and_more.	1666
Chorismate_Synthesis;Amino Acids and Derivatives;Aromatic amino acids and derivatives;Chorismate_Synthesis	442
Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC);Membrane Transport;-;Citrate_Utilization_System_(CitAB,_CitH,_and_tctABC)	120
ClpAS_cluster;Clustering-based subsystems;-;ClpAS_cluster	1320
ClpS_like_protein_and_vWFA-like_protein_cluster;Clustering-based subsystems;-;ClpS_like_protein_and_vWFA-like_protein_cluster	15
Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related;Clustering-based subsystems;proteosome related;Cluster-based_Subsystem_Grouping_Hypotheticals_-_perhaps_Proteosome_Related	615
Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair;Clustering-based subsystems;-;Cluster_containing_CofD-like_protein_and_co-occuring_with_DNA_repair	65
Cluster_with_phosphopentomutase_paralog;Clustering-based subsystems;-;Cluster_with_phosphopentomutase_paralog	2
Coenzyme_A_Biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Coenzyme A;Coenzyme_A_Biosynthesis	901
Coenzyme_B12_biosynthesis;Cofactors, Vitamins, Prosthetic Groups, Pigments;Tetrapyrroles;Coenzyme_B12_biosynthesis	242
Coenzyme_F420-H2_dehydrogenase_(methanophenazine);Respiration;Electron donating reactions;Coenzyme_F420-H2_dehydrogenase_(methanophenazine)	1
Cold_shock,_CspA_family_of_proteins;Stress Response;Cold shock;Cold_shock,_CspA_family_of_proteins	6
Colonization_factor_antigen_I_fimbriae;Membrane Transport;Protein secretion system, Type VII (Chaperone/Usher pathway, CU);Colonization_factor_antigen_I_fimbriae	1
Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate);Amino Acids and Derivatives;Aromatic amino acids and derivatives;Common_Pathway_For_Synthesis_of_Aromatic_Compounds_(DAHP_synthase_to_chorismate)	442
Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families;Miscellaneous;Plant-Prokaryote DOE project;Competence_or_DNA_damage-inducible_protein_CinA_and_related_protein_families	1146
Conjugative_transfer;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Conjugative_transfer	62
Conjugative_transfer_related_cluster;Clustering-based subsystems;-;Conjugative_transfer_related_cluster	2
Conjugative_transposon,_Bacteroidales;Phages, Prophages, Transposable elements, Plasmids;Transposable elements;Conjugative_transposon,_Bacteroidales	19
Control_of_cell_elongation_-_division_cycle_in_Bacilli;Cell Division and Cell Cycle;-;Control_of_cell_elongation_-_division_cycle_in_Bacilli	1
Cyanate_hydrolysis;Nitrogen Metabolism;-;Cyanate_hydrolysis	140
Cysteine_Biosynthesis;Amino Acids and Derivatives;Lysine, threonine, methionine, and cysteine;Cysteine_Biosynthesis	579
Cytochrome_B6-F_complex;Respiration;-;Cytochrome_B6-F_complex	1
D-galactonate_catabolism;Carbohydrates;Monosaccharides;D-galactonate_catabolism	1
DNA-binding_regulatory_proteins,_strays;Regulation and Cell signaling;-;DNA-binding_regulatory_proteins,_strays	1
DNA-replication;DNA Metabolism;DNA replication;DNA-replication	1155
DNA_repair,_UvrABC_system;DNA Metabolism;DNA repair;DNA_repair,_UvrABC_system	7498
DNA_repair,_bacterial;DNA Metabolism;DNA repair;DNA_repair,_bacterial	1146
DNA_repair,_bacterial_RecBCD_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecBCD_pathway	30
DNA_repair,_bacterial_RecFOR_pathway;DNA Metabolism;DNA repair;DNA_repair,_bacterial_RecFOR_pathway	1146
DNA_repair,_bacterial_UmuCD_system;DNA Metabolism;DNA repair;DNA_repair,_bacterial_UmuCD_system	1146
DOE_COG3533;Miscellaneous;Plant-Prokaryote DOE project;DOE_COG3533	4
Dehydrogenase_complexes;Carbohydrates;Central carbohydrate metabolism;Dehydrogenase_complexes	1821
Denitrification;Nitrogen Metabolism;-;Denitrification	83
Dot-Icm_type_IV_secretion_system;Membrane Transport;Protein and nucleoprotein secretion system, Type IV;Dot-Icm_type_IV_secretion_system	4
ECF_class_transporters;Membrane Transport;-;ECF_class_transporters	4
ESAT-6_proteins_secretion_system_in_Actinobacteria;Membrane Transport;Protein translocation across cytoplasmic membrane;ESAT-6_proteins_secretion_system_in_Actinobacteria	12
Ectoine_biosynthesis_and_regulation;Stress Response;Osmotic stress;Ectoine_biosynthesis_and_regulation	36
Entner-Doudoroff_Pathway;Carbohydrates;Central carbohydrate metabolism;Entner-Doudoroff_Pathway	87
Erythritol_utilization;Carbohydrates;Sugar alcohols;Erythritol_utilization	36
Ethylmalonyl-CoA_pathway_of_C2_assimilation;Carbohydrates;Central carbohydrate metabolism;Ethylmalonyl-CoA_pathway_of_C2_assimilation	1080
