# http://api.metagenomics.anl.gov/1/matrix/function?id=mgm4664899.3&group_level=function&source=Subsystems&hit_type=single&result_type=abundance&evalue=1&identity=60&length=15&taxid=0
Taxon	Taxonomy	mgm4664899.3	
Taxon	Taxonomy	STER.003.xx.Mineral.x.x.20140325.join	
SS00001	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;BH2577 unknown conserved protein in B. subtilis	52	
SS00002	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	2526	
SS00003	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein FtsL	18	
SS00004	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Cell division protein MraZ	252	
SS00005	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 2B	2	
SS00006	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 2 (PBP-2)	830	
SS00007	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Penicillin-binding protein 3	2	
SS00008	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;rRNA small subunit methyltransferase H	1192	
SS00009	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;rRNA small subunit methyltransferase I	1041	
SS00010	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Stage V sporulation protein D (Sporulation-specific penicillin-binding protein)	88	
SS00011	RNA Metabolism;RNA processing and modification;16S_rRNA_modification_within_P_site_of_ribosome;Uncharacterized N-acetyltransferase BT9727_3663 (EC 2.3.1.-)	1	
SS00013	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Acyl coenzyme A dehydrogenase, BldA, contributes to the proper timing of aerial mycelium formation and antibiotic production	4	
SS00017	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;A-factor biosynthesis protein AfsA	2	
SS00032	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Pleiotropic negative regulator for morphological and physiological development in Streptomyces, BldD	47	
SS00033	Secondary Metabolism;Bacterial cytostatics, differentiation factors and antibiotics;2-isocapryloyl-3R-hydroxymethyl-gamma-butyrolactone_and_other_bacterial_morphogens;Putative methyltransferase,bldM, influences various aspects of colony growth and development	4	
SS00036	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	57	
SS00037	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate kinase (EC 2.7.1.13)	6	
SS00038	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate transporter	50	
SS00039	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;2-ketogluconate utilization repressor PtxS	4	
SS00041	Carbohydrates;Monosaccharides;2-Ketogluconate_Utilization;HTH-type transcriptional regulator PtxR	3	
SS00042	Carbohydrates;Organic acids;2-methylcitrate_to_2-methylaconitate_metabolism_cluster;2-methylaconitate racemase	94	
SS00043	Carbohydrates;Organic acids;2-methylcitrate_to_2-methylaconitate_metabolism_cluster;2-Methylcitrate dehydratase AcnD	59	
