# http://api.metagenomics.anl.gov/1/matrix/organism?id=mgm4664856.3&group_level=species&source=RefSeq&hit_type=single&result_type=abundance&evalue=1&identity=60&length=15&taxid=0
Taxon	Taxonomy	mgm4664856.3	
Taxon	Taxonomy	OSBS.119.xx.M.xx.x.20130726.join	
Abiotrophia defectiva	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva	124	
Acanthamoeba castellanii	Eukaryota;unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);unclassified (derived from Eukaryota);Acanthamoeba;Acanthamoeba castellanii	6	
Acanthamoeba polyphaga mimivirus	Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Mimiviridae;Mimivirus;Acanthamoeba polyphaga mimivirus	20	
Acanthocystis turfacea Chlorella virus 1	Viruses;unclassified (derived from Viruses);unclassified (derived from Viruses);unclassified (derived from Viruses);Phycodnaviridae;Chlorovirus;Acanthocystis turfacea Chlorella virus 1	6	
Acaryochloris marina	Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Acaryochloris;Acaryochloris marina	2640	
Acaryochloris sp. CCMEE 5410	Bacteria;Cyanobacteria;unclassified (derived from Cyanobacteria);Chroococcales;unclassified (derived from Chroococcales);Acaryochloris;Acaryochloris sp. CCMEE 5410	10	
Acetivibrio cellulolyticus	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;Acetivibrio cellulolyticus	417	
Acetobacter aceti	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter aceti	2	
Acetobacter pasteurianus	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pasteurianus	2611	
Acetobacter pomorum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter pomorum	1	
Acetobacter tropicalis	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;Acetobacter tropicalis	2	
Acetobacteraceae bacterium AT-5844	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;unclassified (derived from Acetobacteraceae);Acetobacteraceae bacterium AT-5844	2	
Acetohalobium arabaticum	Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae;Acetohalobium;Acetohalobium arabaticum	607	
Acholeplasma laidlawii	Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Acholeplasma;Acholeplasma laidlawii	116	
Achromobacter arsenitoxydans	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter arsenitoxydans	3	
Achromobacter denitrificans	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter denitrificans	30	
Achromobacter piechaudii	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter piechaudii	3062	
Achromobacter xylosoxidans	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;Achromobacter xylosoxidans	4547	
Acidaminococcus fermentans	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus fermentans	435	
Acidaminococcus intestini	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus intestini	157	
Acidaminococcus sp. D21	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus sp. D21	121	
Acidilobus saccharovorans	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus saccharovorans	94	
Acidimicrobium ferrooxidans	Bacteria;Actinobacteria;Actinobacteria (class);Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;Acidimicrobium ferrooxidans	3093	
Acidiphilium cryptum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium cryptum	9244	
Acidiphilium multivorum	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium multivorum	2340	
Acidiphilium sp. PM	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;Acidiphilium sp. PM	4277	
Acidithiobacillus caldus	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus caldus	1155	
Acidithiobacillus ferrooxidans	Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;Acidithiobacillus ferrooxidans	2781	
Acidobacterium capsulatum	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum	53507	
Acidothermus cellulolyticus	Bacteria;Actinobacteria;Actinobacteria (class);Actinomycetales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus	7352	
Acidovorax avenae	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax avenae	1347	
Acidovorax citrulli	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax citrulli	3511	
Acidovorax delafieldii	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax delafieldii	1398	
Acidovorax ebreus	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax ebreus	539	
Acidovorax radicis	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax radicis	3	
Acidovorax sp. JS42	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax sp. JS42	3080	
Acidovorax sp. NO-1	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;Acidovorax sp. NO-1	4	
Aciduliprofundum boonei	Archaea;Euryarchaeota;unclassified (derived from Euryarchaeota);unclassified (derived from Euryarchaeota);unclassified (derived from Euryarchaeota);Aciduliprofundum;Aciduliprofundum boonei	271	
