SampleID	CPER_001-M-20131024
Abacion	1
Abida	1
Abies	1
Abiotrophia	302
Abudefduf	1
Acanella	1
Acanthamoeba	67
Acanthascus	1
Acanthocyclops	2
Acanthoscurria	2
Acaryochloris	6687
Acetabularia	3
Acetivibrio	1288
Acetobacter	2577
Acetobacterium	8
Acetohalobium	1778
Achlya	2
Acholeplasma	257
Achromobacter	13785
Aciculosporium	1
Acidaminococcus	1625
Acidianus	5
Acidilobus	234
Acidimicrobium	9323
Acidiphilium	12044
Acidithiobacillus	5382
Acidithiomicrobium	6
Acidobacterium	55739
Acidocella	3
Acidomonas	4
Acidothermus	25248
Acidovorax	21484
Aciduliprofundum	521
Acinetobacter	6443
Acipenser	1
Acorus	3
Acramoeba	1
Acrasis	1
Acremonium	1
Acricotopus	1
Acrophialophora	1
Acrostalagmus	2
Actineria	1
Actinidia	3
Actinoallomurus	10
Actinobacillus	1500
Actinobaculum	1
Actinocorallia	9
Actinokineospora	1
Actinomadura	249
Actinomyces	5707
Actinoplanes	610
Actinopolyspora	3
Actinospica	1
Actinosynnema	26254
Actinotalea	4
Acyrthosiphon	200
Adenochilus	1
Adiantum	12
Adineta	81
Advenella	3
Aedes	594
Aegilops	23
Aeluropus	1
Aeribacillus	4
Aerococcus	244
Aeromicrobium	5135
Aeromonas	3900
Aeropyrum	213
Aethionema	1
Afifella	14
Afipia	7316
Afrothismia	1
Agamermis	1
Agaricus	20
Agarivorans	1
Agathis	2
Agave	1
Agelenopsis	1
Aggregatibacter	490
Aglaothamnion	1
Agreia	1
Agrobacterium	19815
Agrococcus	2
Agrocybe	5
Agromyces	21
Agropyron	7
Agrostis	7
Agrotis	3
Agrypnus	1
Ahrensia	1788
Ailuropoda	240
Ainsliaea	1
Ajellomyces	504
Akkermansia	5912
Albidiferax	9976
Albinaria	1
Alcaligenes	105
Alcanivorax	3687
Aleuroglyphus	1
Alexandrium	2
Alfaro	1
Algoriphagus	5449
Alicycliphilus	3910
Alicyclobacillus	7247
Aliivibrio	966
Aliquandostipite	1
Alishewanella	1
Alistipes	1827
Alkalilimnicola	7821
Alkalimonas	2
Alkaliphilus	5770
Allacma	1
Alligator	3
Allium	2
Allochromatium	3760
Allomyces	9
Alnus	5
Alocasia	2
Aloe	1
Alosa	1
Alouatta	1
Alphabaculovirus	4
Alphacoronavirus	1
Alphalipothrixvirus	3
Alpinia	1
Alsophila	2
Alternanthera	1
Alternaria	16
Alteromonas	2686
Alvinella	1
Alyssum	1
Amaranthus	4
Amblyomma	4
Amblyopyrum	1
Amblyrhynchus	1
Amborella	3
Ambrosia	1
Ambystoma	3
Amia	1
Aminobacter	28
Aminobacterium	1181
Aminomonas	1259
Ammonifex	4380
Amoeba	2
Amoebidium	2
Ampelomyces	1
Amphibacillus	1
Amphidinium	8
Amphimedon	2
Amphiporus	1
Ampullaria	1
Amycolatopsis	36674
Amylomyces	3
Anabaena	20234
Anaerobaculum	1822
Anaerobranca	1
Anaerococcus	724
Anaerofustis	317
Anaerolinea	9230
Anaeromyxobacter	66368
Anaeroplasma	1
Anaerostipes	360
Anaerotruncus	941
Anagrus	1
Ananas	1
Anaplasma	699
Anas	11
Ancylobacter	10
Ancylostoma	1
Andalucia	1
Andrachne	1
Androctonus	1
Anethum	1
Aneura	2
Aneurinibacillus	64
Angiopteris	7
Anguilla	3
Aniseia	1
Anisomeridium	1
Anomochloa	4
Anomodon	1
Anomopus	1
Anopheles	836
Anoplopoma	15
Anoxybacillus	2401
Anser	3
Anthoceros	17
Anthopleura	5
Anticlea	1
Antipaluria	1
Antirrhinum	7
Antonospora	2
Aphanius	1
Aphanizomenon	34
Aphanomyces	2
Aphanothece	2
Aphelandra	2
Aphelenchus	1
Aphrocallistes	3
Aphyllanthes	1
Apiochaeta	1
Apiospora	1
Apis	268
Apium	1
Aplidium	1
Aplysia	13
Apodachlya	3
Apriona	1
Apteryx	1
Apusomonas	1
Aquabacterium	6
Aquamicrobium	1
Aquifex	4599
Aquimarina	1
Aquincola	1
Arabidopsis	3787
Arabis	1
Arachis	7
Araucaria	1
Arcanobacterium	558
Archaeoglobus	2425
Archaeospora	1
Arcobacter	1102
Arenibacter	1
Argemone	1
Argopecten	1
Argulus	2
Argyreia	1
Arianta	1
Aristida	4
Aristolochia	1
Armadillidium	1
Armillaria	4
Armillifer	1
Arnebia	1
Aromatoleum	12197
Arsenophonus	118
Artemia	6
Artemisia	4
Arthrobacter	33159
Arthroderma	395
Arthrospira	4536
Arundinaria	1
Asaia	5
Ascaris	14
Ascobolus	1
Ascochyta	1
Ascophyllum	3
Asfivirus	1
Asparagus	7
Aspergillus	4725
Aspicilia	2
